,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,טסט עד
90,שברולט ספארק,2013,1,995,"12,000 ₪","162,000",בנזין,ידנית,כחול בהיר מטאלי,10/2013,פרטית,,כן,לא,7,בת ים,
91,סוזוקי SX4 קרוסאובר,2014,4,1586,"47,000 ₪","120,000",בנזין,אוטומט,כסוף מטאלי,10/2014,פרטית,פרטית,לא,לא,8,כפר תבור,10/2022
92,יונדאי i35,2014,2,1591,"48,000 ₪","150,000",בנזין,אוטומט,שחור,06/2014,פרטית,פרטית,לא,לא,14,ירושלים,
93,רנו קליאו דור 4 (2013-2019),2015,1,1197,לא צוין מחיר,"122,000",בנזין,אוטומט,אדום מטאלי,06/2015,פרטית,,לא,לא,11,משמר דוד,06/2022
94,מיצובישי לנסר קלאסיק,2007,3,1584,"13,600 ₪","115,000",בנזין,אוטומט,אפור מטאלי,,פרטית,פרטית,לא,לא,15,רמלה,01/2022
95,רנו פלואנס,2016,2,1461,"48,000 ₪","123,500",דיזל,אוטומט,אפור,09/2016,פרטית,פרטית,לא,לא,15,רמת גן,04/2022
96,יונדאי קופה,2006,10,1975,"20,000 ₪","300,000",בנזין,ידנית,אפור,,פרטית,פרטית,לא,לא,NaN,פתח תקווה,
97,מאזדה 6,2009,3,1999,"26,000 ₪","183,000",בנזין,אוטומט,כסוף,03/2009,פרטית,פרטית,לא,לא,15,פוריה נווה עובד,
98,סיטרואן C4 פיקאסו,2014,4,1997,"49,900 ₪","130,000",דיזל,אוטומט,אפור,,פרטית,פרטית,לא,לא,14,פתח תקווה,09/2022
99,מאזדה 6,2015,3,1998,"61,900 ₪","102,500",בנזין,אוטומט,אפור עכבר,01/2015,פרטית,פרטית,לא,לא,10,אשדוד,01/2023
100,טויוטה אוריס,2009,4,1598,"18,000 ₪","154,000",בנזין,רובוטית,אפור מטאלי,03/2009,פרטית,פרטית,לא,לא,15,קרית שמונה,03/2022
101,שברולט מאליבו,2010,4,2384,"21,500 ₪","152,000",בנזין,אוטומט,כחול כהה,08/2010,פרטית,פרטית,לא,לא,15,אילת,08/2022
102,אופל אדם,2018,1,1398,"57,000 ₪","36,000",בנזין,אוטומט,סגול מטאלי,01/2018,פרטית,,לא,לא,8,ירושלים,12/2022
103,פורד פוקוס,2009,2,1596,"7,000 ₪","390,000",בנזין,אוטומט,לבן,05/2009,פרטית,פרטית,לא,לא,15,טייבה,10/2022
104,טסלה מודל 3,2021,1,,"230,000 ₪","1,000",חשמלי,אוטומט,לבן,12/2021,פרטית,,לא,לא,1,באר שבע,12/2022
105,פולקסווגן גולף,2012,2,1197,"33,000 ₪","155,000",בנזין,אוטומט,כחול כהה מטאלי,08/2012,פרטית,פרטית,לא,לא,13,הרצליה,08/2022
106,קיה פיקנטו,2011,4,998,"19,999 ₪","79,000",בנזין,ידנית,ירקרק,,פרטית,פרטית,לא,לא,3,קיסריה,11/2022
107,אאודי A4,2008,2,1798,"5,000 ₪","200,000",בנזין,אוטומט,לבן,08/2008,פרטית,פרטית,לא,לא,NaN,נצרת עילית / נוף הגליל,08/2022
108,סיאט איביזה,2017,1,999,"65,000 ₪","109,000",בנזין,אוטומט,אפור מטאלי,07/2017,פרטית,,לא,לא,8,ירושלים,07/2022
109,הונדה סיוויק סדאן החדשה,2007,2,1799,"26,000 ₪","107,000",בנזין,אוטומט,בז',01/2007,פרטית,פרטית,לא,לא,14,פתח תקווה,12/2023
110,דאצ'יה סנדרו Stepway,2016,2,898,"31,500 ₪","81,000",בנזין,אוטומט,לבן,11/2016,פרטית,פרטית,לא,לא,12,פרדס חנה כרכור,11/2022
111,טויוטה קורולה,2008,1,1598,"15,000 ₪","263,000",בנזין,רובוטית,אפור,02/2008,פרטית,,לא,לא,15,מעלות תרשיחא,02/2022
112,פורד S-מקס,2009,4,2261,"19,000 ₪","212,000",בנזין,אוטומט,אפור,03/2009,פרטית,ליסינג,לא,לא,15,כפר סבא,04/2022
113,מאזדה 323 לאנטיס,2002,4,1598,"9,000 ₪","190,000",בנזין,אוטומט,אפור,10/2002,פרטית,פרטית,לא,לא,NaN,ירושלים,11/2022
114,ג'י.איי.סי/ GAC GE3,2020,2,,"114,000 ₪","27,000",חשמלי,אוטומט,לבן שנהב,08/2020,פרטית,פרטית,כן,לא,1,כפר ורדים,08/2023
115,אופל אסטרה,2017,1,1598,"44,000 ₪","165,000",דיזל,אוטומט,לבן,10/2017,חברה,,לא,לא,10,תל אביב יפו,
116,יגואר S-Type,2008,2,2967,"40,000 ₪","138,000",בנזין,אוטומט,שחור,,פרטית,פרטית,לא,לא,NaN,תל אביב יפו,06/2022
117,אלפא רומיאו ג'ולייטה,2017,4,1368,"87,000 ₪","59,000",בנזין,רובוטית,לבן,11/2017,פרטית,פרטית,כן,לא,13,חיפה,11/2022
118,טויוטה פריוס הייבריד,2007,3,1497,לא צוין מחיר,"400,000",בנזין,אוטומט,ירקרק,05/2007,פרטית,פרטית,לא,לא,4,אריאל,12/2021
119,ניסאן מיקרה,2019,1,1198,"65,000 ₪","44,000",בנזין,אוטומט,אפור מטאלי,11/2019,פרטית,,לא,לא,5,קרית אתא,
120,מאזדה 2,2011,2,1498,"25,000 ₪","190,000",בנזין,אוטומט,כסוף,01/2011,פרטית,פרטית,לא,לא,14,ירושלים,01/2022
121,פולקסווגן פולו,2012,4,1390,"35,000 ₪","99,500",בנזין,ידנית,אפור עכבר,05/2012,פרטית,פרטית,לא,לא,14,נצרת,05/2022
122,סיאט לאון,2014,3,1798,לא צוין מחיר,"108,000",בנזין,אוטומט,לבן,06/2014,פרטית,פרטית,לא,לא,14,פוריידיס,06/2022
123,פורד פוקוס,2013,2,1596,"20,000 ₪","102,000",בנזין,אוטומט,לבן,05/2013,פרטית,פרטית,לא,לא,14,נהריה,05/2022
124,יונדאי i30,2009,3,1591,"16,000 ₪","202,000",בנזין,אוטומט,כסוף,01/2009,פרטית,פרטית,לא,לא,14,נהריה,
125,טויוטה יאריס,2016,1,1329,"75,000 ₪","29,000",בנזין,אוטומט,כסוף,11/2016,פרטית,,כן,לא,7,ראשון לציון,11/2022
126,אופל זאפירה,2012,3,1364,"23,000 ₪","204,000",בנזין,אוטומט,לבן,06/2012,פרטית,ליסינג,לא,לא,15,ירושלים,06/2022
127,מאזדה 6,2014,2,2488,"64,000 ₪","144,000",בנזין,אוטומט,לבן פנינה,01/2014,פרטית,ליסינג,לא,לא,14,רמלה,02/2022
128,פורד מוסטנג,2019,1,5038,"330,000 ₪","58,000",בנזין,אוטומט,כתום,06/2019,פרטית,,כן,לא,15,כרמיאל,06/2022
129,טויוטה יאריס,2005,2,1298,"15,000 ₪","200,000",בנזין,אוטומט,כחול בהיר,,פרטית,פרטית,לא,לא,NaN,טבריה,10/2022
130,יונדאי i25,2015,3,1591,"49,000 ₪","145,000",בנזין,אוטומט,שחור מטאלי,01/2015,פרטית,פרטית,לא,לא,13,ירושלים,
131,סוזוקי SX4 קרוסאובר,2014,1,1586,"38,000 ₪","204,000",בנזין,ידנית,חרדל,,פרטית,,לא,לא,8,בית אל,09/2022
132,מאזדה 3,2017,2,1998,"88,000 ₪","53,000",בנזין,אוטומט,לבן פנינה,11/2017,פרטית,פרטית,לא,לא,11,באר יעקב,11/2022
133,אאודי TT,2009,6,1984,"85,000 ₪","220,000",בנזין,אוטומט,לבן,,פרטית,פרטית,לא,לא,15,ראש העין,04/2022
134,מרצדס S-Class,2008,3,3498,"60,288 ₪","340,000",בנזין,אוטומט,כסוף,11/2008,פרטית,פרטית,לא,לא,15,פתח תקווה,12/2022
135,פיאט פונטו ספייס (דור II),2003,6,1747,"15,000 ₪","312,000",בנזין,ידנית,צהוב,,פרטית,פרטית,לא,לא,NaN,רחובות,02/2022
136,מרצדס CLS,2011,4,4663,"184,000 ₪","163,000",בנזין,אוטומט,שחור מטאלי,05/2011,פרטית,פרטית,לא,לא,15,תל אביב יפו,05/2022
137,אופל אדם,2015,2,1398,"32,000 ₪","102,000",בנזין,אוטומט,אדום,03/2015,פרטית,פרטית,לא,לא,10,אשדוד,03/2022
138,טויוטה קורולה,2008,3,1598,"15,000 ₪","200,000",בנזין,רובוטית,כסוף,07/2008,פרטית,פרטית,לא,כן,15,עפולה,07/2022
139,פולקסווגן גולף,2010,2,1595,"33,000 ₪","137,000",בנזין,אוטומט,שחור מטאלי,10/2010,פרטית,פרטית,לא,לא,14,עכו,10/2022
140,טויוטה קורולה RUN-X,2004,2,1598,"10,000 ₪","190,000",בנזין,אוטומט,אפור עכבר,,פרטית,פרטית,לא,לא,NaN,כפר הנשיא,12/2021
141,ניסאן מיקרה,2017,2,1198,"33,500 ₪","75,000",בנזין,ידנית,שחור,03/2017,פרטית,פרטית,לא,לא,5,חצור הגלילית,03/2022
142,פיג'ו 208,2015,3,1199,"24,800 ₪","139,000",בנזין,ידנית,לבן מטאלי,,פרטית,פרטית,לא,לא,7,ראש העין,
143,פיג'ו 308,2015,3,1199,"28,000 ₪","160,000",בנזין,אוטומט,שחור,05/2015,פרטית,פרטית,לא,לא,10,אשקלון,10/2022
144,מאזדה 5,2008,3,1999,"23,500 ₪","148,500",בנזין,אוטומט,ירוק בהיר,03/2008,פרטית,פרטית,כן,לא,15,אשקלון,03/2022
145,יונדאי i10,2021,1,1197,"72,500 ₪","17,200",בנזין,אוטומט,אפור,04/2021,פרטית,,לא,לא,6,בית אריה / עופרים,04/2024
146,טויוטה יאריס,2005,4,1298,"9,500 ₪","242,000",בנזין,אוטומט,ירוק בהיר,,פרטית,פרטית,לא,לא,NaN,חדרה,07/2022
147,הונדה סיוויק סדאן החדשה,2008,3,1799,"23,500 ₪","183,000",בנזין,ידנית,כחול בהיר מטאלי,06/2008,פרטית,פרטית,לא,לא,14,רחובות,06/2022
148,הונדה סיוויק (עד 2006),2005,2,1590,לא צוין מחיר,"209,000",בנזין,אוטומט,לבן,,פרטית,פרטית,לא,לא,NaN,קצרין,07/2022
149,דאצ'יה סנדרו Stepway,2019,1,898,"56,000 ₪","53,000",בנזין,אוטומט,לבן,01/2019,פרטית,,לא,לא,6,אשדוד,01/2022
150,סובארו B4,2008,3,1994,"13,520 ₪","230,000",בנזין,אוטומט,שחור מטאלי,10/2008,פרטית,פרטית,לא,לא,15,באר שבע,11/2022
151,יונדאי i30CW,2010,3,1975,"16,000 ₪","158,000",בנזין,אוטומט,כחול,09/2010,פרטית,השכרה,לא,לא,15,קרית מלאכי,06/2022
152,פולקסווגן ג'טה,2007,5,1896,"14,000 ₪","320,000",דיזל,אוטומט,זהב מטאלי,02/2007,פרטית,פרטית,כן,לא,15,צפת,02/2022
153,סיאט לאון,2016,1,1798,"115,000 ₪","118,000",בנזין,אוטומט,לבן פנינה,01/2016,פרטית,,כן,לא,12,אביבים,01/2022
154,הונדה אינסייט,2014,2,1339,"33,000 ₪","209,000",בנזין,אוטומט,אפור,,פרטית,פרטית,לא,לא,4,כפר מנדא,09/2022
155,אברת' 500c,2014,3,1368,"65,000 ₪","126,000",בנזין,רובוטית,אפור עכבר,08/2014,פרטית,פרטית,לא,לא,14,ירושלים,
156,סיאט איביזה,2011,5,1197,לא צוין מחיר,"150,000",בנזין,אוטומט,אדום,07/2011,פרטית,פרטית,לא,לא,14,בני ברק,07/2022
157,סיטרואן C3 פיקאסו,2011,2,1560,"12,000 ₪","340,000",דיזל,ידנית,שחור,03/2011,פרטית,פרטית,לא,לא,14,טירת כרמל,03/2022
158,סובארו B4,2007,4,1994,"8,500 ₪","300,000",בנזין,אוטומט,אפור מטאלי,12/2007,פרטית,פרטית,לא,לא,NaN,רהט,
