,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,טסט עד
74,מרצדס A-Class,2013,4,1595,"70,000 ₪","140,000",בנזין,אוטומט,שחור,07/2013,פרטית,פרטית,לא,לא,10,קרית שמונה,07/2022
75,מאזדה 5,2012,2,1999,"50,000 ₪","225,000",בנזין,אוטומט,אפור עכבר,11/2012,פרטית,השכרה,לא,לא,15,איתמר,11/2022
76,סאאב 9-5,2002,4,2290,לא צוין מחיר,"330,000",בנזין,אוטומט,כסוף מטאלי,,פרטית,פרטית,לא,לא,NaN,"כפר ביל""ו",08/2022
77,סיאט איביזה,2011,5,1390,לא צוין מחיר,"177,000",בנזין,אוטומט,לבן שנהב,08/2011,פרטית,פרטית,לא,לא,14,בועיינה נוג'יידאת,08/2022
78,סיטרואן C4 פיקאסו,2009,2,1598,"3,500 ₪","165,000",בנזין,רובוטית,אפור עכבר,12/2009,פרטית,פרטית,כן,לא,15,מעון,12/2021
79,ב.מ.וו סדרה 5,2021,1,1998,"400,000 ₪","26,000",היברידי חשמל / בנזין,אוטומט,אפור מטאלי,01/2021,פרטית,,לא,לא,2,חצור הגלילית,12/2022
80,הונדה ג'אז הייבריד,2012,2,1339,"29,000 ₪","227,000",בנזין,אוטומט,שחור,10/2012,פרטית,חברה,לא,לא,3,חדרה,10/2022
81,קיה פיקנטו,2014,3,1248,"38,000 ₪","85,546",בנזין,אוטומט,שחור מטאלי,,פרטית,פרטית,לא,לא,9,גבעת ישעיהו,05/2022
82,מרצדס CLA,2021,2,1332,"310,000 ₪","7,000",היברידי חשמל / בנזין,אוטומט,שחור,04/2021,פרטית,פרטית,כן,לא,9,כפר קאסם,
83,יונדאי i30,2016,3,1591,"55,000 ₪","142,000",בנזין,אוטומט,לבן,01/2016,פרטית,פרטית,לא,לא,12,טמרה,03/2022
84,פורד מוסטנג,2021,1,2261,לא צוין מחיר,"15,000",בנזין,אוטומט,שחור מטאלי,06/2021,פרטית,,לא,לא,15,מגאר,06/2022
85,פולקסווגן גולף,2010,2,1595,"22,000 ₪","198,000",בנזין,אוטומט,כחול כהה,,פרטית,פרטית,כן,לא,14,יהוד מונוסון,06/2022
86,סקודה ראפיד,2016,2,1395,"45,000 ₪","130,000",בנזין,אוטומט,ירוק מטאלי,03/2016,פרטית,ליסינג,לא,לא,6,כפר סבא,03/2022
87,אלפא רומיאו 156,2003,5,2492,"17,000 ₪","139,000",בנזין,חצי אוטומט,כסוף,,פרטית,פרטית,לא,לא,NaN,תל אביב יפו,01/2022
88,מאזדה 6,2004,2,1999,"6,500 ₪","281,000",בנזין,אוטומט,אפור מטאלי,01/2004,פרטית,פרטית,לא,לא,NaN,פתח תקווה,
89,שברולט אבאו,2007,7,1399,"5,000 ₪","200,000",בנזין,ידנית,אפור עכבר,,פרטית,פרטית,לא,לא,NaN,בית שמש,09/2022
