,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,טסט עד,תאריך עליה לכביש
77,מאזדה 5,2008,3,1999,"24,900 ₪","191,000",בנזין,אוטומט,כחול בהיר,פרטית,ליסינג,לא,לא,15,באר שבע,07/2022,
78,מאזדה 323 לאנטיס,2002,2,1991,"10,000 ₪","151,619",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,NaN,ירושלים,,
79,פולקסווגן פולו,2003,6,1390,לא צוין מחיר,"233,000",בנזין,ידנית,לבן,פרטית,פרטית,לא,לא,NaN,ירושלים,09/2022,04/2003
80,קרייזלר טאון קאנטרי,2005,3,3778,"15,500 ₪","238,000",בנזין,אוטומט,תכלת מטאלי,פרטית,פרטית,לא,לא,NaN,טבריה,05/2022,
81,יונדאי סונטה הייבריד,2018,2,1999,"137,000 ₪","40,000",בנזין,אוטומט,שחור מטאלי,פרטית,פרטית,לא,לא,3,נתיבות,11/2022,12/2018
82,סקודה ראפיד,2017,1,1395,"45,000 ₪","220,000",בנזין,אוטומט,לבן,ליסינג,,כן,לא,8,אשקלון,12/2022,02/2017
83,פיאט קובו / QUBO,2014,2,1368,"15,000 ₪","206,000",בנזין,ידנית,לבן,פרטית,פרטית,לא,לא,15,קרית גת,03/2022,
84,פיג'ו 307CC,2005,4,1997,"28,000 ₪","210,000",בנזין,טיפטרוניק,שחור,פרטית,פרטית,לא,לא,NaN,חדרה,11/2022,
85,אופל אסטרה,2016,3,1399,"40,000 ₪","113,000",בנזין,אוטומט,כסף מטלי,פרטית,ליסינג,לא,לא,15,לוד,05/2022,05/2016
86,יונדאי אקסנט (עד 2012),2005,3,1495,"3,000 ₪","300,000",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,NaN,נתניה,,
87,יונדאי אקסנט (עד 2012),2010,4,1399,"12,000 ₪","187,000",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,15,פתח תקווה,01/2023,01/2010
88,פורד פוקוס,2012,2,1596,"19,800 ₪","147,500",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,14,ירושלים,12/2023,11/2012
89,יונדאי i10,2012,1,1086,"18,900 ₪","97,000",בנזין,ידנית,בז',פרטית,,לא,לא,14,פתח תקווה,11/2022,11/2012
90,הונדה סיוויק סדאן החדשה,2010,2,1799,"27,000 ₪","176,000",בנזין,אוטומט,אפור עכבר,פרטית,פרטית,לא,לא,14,באר שבע,05/2022,
91,הונדה סיוויק (עד 2006),2001,4,1590,"5,500 ₪","350,000",בנזין,אוטומט,לבן שנהב,פרטית,פרטית,כן,לא,NaN,חדרה,,
92,סקודה פאביה,2008,4,1598,"9,000 ₪","207,000",בנזין,אוטומט,שחור מטאלי,פרטית,פרטית,לא,לא,NaN,חיפה,06/2022,05/2008
93,קיה סטוניק,2019,2,1368,"91,030 ₪","32,000",בנזין,אוטומט,שחור מטאלי,פרטית,פרטית,לא,לא,6,תל אביב יפו,09/2022,09/2019
94,טויוטה פריוס פלוס הייבריד,2015,2,1798,"102,450 ₪","126,000",בנזין,אוטומט,לבן פנינה,פרטית,פרטית,לא,לא,3,ירושלים,09/2022,09/2015
95,ב.מ.וו סדרה 3,2009,4,1995,"35,000 ₪","135,000",בנזין,אוטומט,כחול כהה מטאלי,פרטית,פרטית,לא,לא,15,חיפה,11/2022,09/2009
96,פולקסווגן שירוקו,2010,3,1390,"50,000 ₪","170,000",בנזין,אוטומט,לבן פנינה,פרטית,פרטית,לא,לא,15,באקה אל ע'רביה,07/2022,07/2010
97,אופל אסטרה,2015,2,1364,"29,000 ₪","123,000",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,14,בית שמש,06/2022,01/2015
98,סקודה סופרב (עד 2019),2012,4,1798,"35,000 ₪","186,000",בנזין,אוטומט,חום מטאלי,פרטית,פרטית,לא,כן,15,ירושלים,08/2022,12/2012
99,מאזדה 3,2005,6,1999,לא צוין מחיר,"218,000",בנזין,אוטומט,זהב מטאלי,פרטית,פרטית,לא,לא,15,ירושלים,05/2022,05/2005
100,דאצ'יה סנדרו Stepway,2015,3,898,"23,000 ₪","124,000",בנזין,ידנית,לבן מטאלי,פרטית,פרטית,לא,לא,6,אילת,09/2022,06/2015
101,סקודה אוקטביה,2016,2,1197,"49,500 ₪","139,600",בנזין,אוטומט,כסוף מטאלי,פרטית,ליסינג,לא,לא,9,אבן יהודה,08/2022,08/2016
102,פורד S-מקס,2008,3,2261,"10,000 ₪","226,000",בנזין,אוטומט,שחור מטאלי,פרטית,פרטית,לא,לא,15,מגדל העמק,08/2022,06/2008
103,טויוטה אוריס הייבריד,2018,2,1798,"90,000 ₪","91,000",בנזין,אוטומט,כסוף,פרטית,ליסינג,לא,לא,3,מבשרת ציון,11/2022,11/2018
104,ב.מ.וו סדרה 2,2016,2,1998,"142,000 ₪","105,000",בנזין,אוטומט,לבן,פרטית,פרטית,לא,לא,15,עפולה,09/2022,08/2016
105,פולקסווגן גולף,2009,4,1390,"29,000 ₪","160,000",בנזין,אוטומט,שחור מטאלי,פרטית,פרטית,לא,לא,14,דייר חנא,09/2022,02/2009
106,סוזוקי ספלאש,2014,3,1242,"14,000 ₪","140,000",בנזין,ידנית,אפור,פרטית,פרטית,לא,לא,7,עפולה,01/2022,01/2014
107,אלפא רומיאו ג'ולייטה,2016,2,1368,"70,000 ₪","84,000",בנזין,רובוטית,כסוף מטאלי,פרטית,פרטית,לא,לא,14,אלפי מנשה,12/2021,12/2016
