,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,בעלות קודמת,שם הסוכנות:
317,אאודי S3,2018,3,1984,"290,000 ₪","60,000",בנזין,אוטומט,לבן,04/2018,05/2022,פרטית,לא,לא,14,באר שבע,פרטית,
318,סקודה פאביה,2011,4,1390,"16,000 ₪","216,000",בנזין,ידנית,אפור מטאלי,08/2011,08/2022,פרטית,לא,לא,14,נאות גולן,פרטית,
319,קיה קרניבל,2018,1,3342,"185,000 ₪","61,000",בנזין,אוטומט,לבן פנינה,04/2018,03/2022,פרטית,לא,לא,15,בית שמש,,
320,סיאט איביזה,2011,2,1598,"25,900 ₪","180,000",בנזין,אוטומט,שחור מטאלי,06/2011,06/2022,פרטית,לא,לא,14,קרית גת,פרטית,
321,מאזדה 3,2018,2,1998,"95,000 ₪","96,000",בנזין,אוטומט,לבן שנהב,02/2018,02/2022,פרטית,לא,לא,12,קרית גת,פרטית,
322,טויוטה אוריס הייבריד,2015,2,1798,"60,000 ₪","149,000",בנזין,אוטומט,כסוף,06/2015,07/2022,פרטית,לא,לא,3,ירושלים,ליסינג,
323,ניסאן מיקרה,2011,2,1198,"10,500 ₪","186,000",בנזין,אוטומט,כתום,,07/2022,פרטית,לא,לא,7,שדרות,השכרה,
324,שברולט סוניק,2014,3,1598,"24,000 ₪","185,000",בנזין,אוטומט,אפור מטאלי,03/2014,03/2022,פרטית,לא,לא,14,ראשון לציון,ליסינג,
325,יונדאי i30,2009,2,1591,"16,000 ₪","203,000",בנזין,אוטומט,כסוף,12/2009,12/2022,פרטית,לא,לא,14,תל אביב יפו,השכרה,
326,אברת' 500,2021,2,1368,"178,800 ₪","8,000",בנזין,ידנית,אדום מטאלי,01/2021,01/2023,פרטית,לא,לא,10,תל אביב יפו,חברה,
327,אאודי S5,2008,2,4163,"125,000 ₪","97,000",בנזין,אוטומט,אפור,,,פרטית,לא,לא,15,תל אביב יפו,פרטית,
328,פולקסווגן שירוקו,2011,4,1390,"65,000 ₪","91,000",בנזין,אוטומט,לבן מטאלי,07/2011,07/2022,פרטית,לא,לא,15,כרמיאל,פרטית,
329,הונדה ג'אז,2002,4,1339,לא צוין מחיר,"283,000",בנזין,ידנית,אדום,05/2002,,פרטית,לא,לא,NaN,ירושלים,פרטית,
330,מאזדה 323 לאנטיס,2002,2,1598,"4,000 ₪","220,000",בנזין,אוטומט,אפור מטאלי,07/2002,,פרטית,לא,לא,NaN,הוד השרון,פרטית,
331,סוזוקי ליאנה,2007,2,1586,"3,500 ₪","282,657",בנזין,אוטומט,חום מטאלי,,03/2022,פרטית,לא,לא,NaN,תלמי אליהו,פרטית,
332,וולוו S60,2013,2,1595,"35,000 ₪","170,000",בנזין,אוטומט,לבן פנינה,10/2013,10/2022,פרטית,כן,לא,15,תל אביב יפו,פרטית,
333,לקסוס IS250,2009,3,2500,"60,000 ₪","116,000",בנזין,אוטומט,אפור עכבר,09/2009,,פרטית,לא,לא,15,עפולה,פרטית,
334,יונדאי ולוסטר,2012,3,1591,"46,000 ₪","119,000",בנזין,אוטומט,אדום מטאלי,10/2012,10/2022,פרטית,לא,לא,13,אופקים,פרטית,
335,מרצדס GLC-Class קופה,2018,1,1991,"317,000 ₪","75,000",היברידי חשמל / בנזין,אוטומט,לבן פנינה,06/2018,06/2022,פרטית,לא,לא,2,באר יעקב,,
336,פורד פיאסטה,2015,3,1596,"26,500 ₪","48,700",בנזין,אוטומט,שחור,08/2015,08/2022,פרטית,לא,לא,13,מענית,פרטית,
337,טויוטה קאמרי,2018,2,2487,"145,000 ₪","156,000",בנזין,אוטומט,לבן,10/2018,10/2022,פרטית,לא,לא,3,נצרת,פרטית,
338,ב.מ.וו סדרה 3,2002,10,1995,"18,000 ₪","355,000",בנזין,אוטומט,כחול מטאלי,,01/2022,פרטית,כן,לא,NaN,לוד,פרטית,
339,מאזדה 3,2007,6,1598,"11,000 ₪","177,000",בנזין,אוטומט,זהב,,03/2022,פרטית,לא,לא,15,תל אביב יפו,ליסינג,
340,שברולט קרוז,2014,2,1796,"25,900 ₪","115,000",בנזין,אוטומט,כסוף,06/2014,,פרטית,לא,לא,14,ראש העין,פרטית,
341,טויוטה C-HR,2020,1,1798,"138,000 ₪","53,000",בנזין,אוטומט,לבן פנינה,03/2020,03/2022,פרטית,כן,לא,2,קלנסווה,,
342,סיאט איביזה,2007,3,1390,"11,000 ₪","240,000",בנזין,אוטומט,שחור מטאלי,,12/2022,פרטית,לא,לא,NaN,בת ים,פרטית,
343,אופל אינסיגניה,2014,3,1598,"41,500 ₪","118,000",בנזין,אוטומט,לבן,10/2014,10/2022,פרטית,כן,לא,15,אשקלון,פרטית,
344,שברולט מאליבו,2009,2,3500,"17,500 ₪","130,000",בנזין,אוטומט,ירוק מטאלי,09/2009,,פרטית,לא,לא,15,מגן שאול,ליסינג,
345,סקודה אוקטביה,2013,3,1798,"27,000 ₪","218,000",בנזין,אוטומט,אפור מטאלי,10/2013,10/2022,פרטית,לא,לא,14,נתניה,פרטית,
346,אופל אסטרה,2017,1,1399,"53,000 ₪","128,000",בנזין,אוטומט,לבן מטאלי,10/2017,10/2022,ליסינג,כן,לא,10,כפר יונה,,מוטודיל
347,פולקסווגן פאסאט,2018,2,1798,"115,000 ₪","94,000",בנזין,אוטומט,לבן,08/2018,08/2022,פרטית,לא,לא,12,ירושלים,פרטית,
348,אאודי A6,2014,2,2773,"118,000 ₪","129,000",בנזין,אוטומט,כסוף מטאלי,09/2014,09/2022,פרטית,לא,לא,15,תל אביב יפו,פרטית,
349,הונדה סטרים,2003,2,1998,"7,000 ₪","300,000",בנזין,אוטומט,כחול כהה,07/2003,09/2022,פרטית,לא,לא,NaN,ירושלים,פרטית,
350,סקודה סופרב (עד 2019),2017,2,1798,"115,000 ₪","107,000",בנזין,אוטומט,כסוף מטאלי,04/2017,04/2022,פרטית,לא,לא,12,ראש העין,חברה,
351,מרצדס C-Class קופה,2020,1,2996,"460,000 ₪","20,000",בנזין,אוטומט,שחור מטאלי,01/2020,,פרטית,כן,לא,11,ראשון לציון,,
352,פיג'ו 3008,2020,1,1199,"155,000 ₪","22,000",בנזין,אוטומט,לבן,09/2020,09/2022,פרטית,לא,כן,7,קדר,,
353,רנו מגאן גראנד קופה,2020,1,1461,"100,000 ₪","60,000",דיזל,אוטומט,לבן פנינה,01/2020,,פרטית,לא,לא,4,דייר אל אסד,,
354,סקודה אוקטביה,2016,2,1197,"53,000 ₪","160,000",בנזין,אוטומט,אפור מטאלי,04/2016,07/2022,פרטית,כן,לא,9,אשקלון,ליסינג,
355,דייהטסו סיריון,2008,2,1298,"15,000 ₪","200,000",בנזין,אוטומט,כחול,,,פרטית,לא,לא,13,פתח תקווה,פרטית,
356,סקודה אוקטביה RS,2017,3,1984,לא צוין מחיר,"51,000",בנזין,אוטומט,שחור מטאלי,06/2017,06/2022,פרטית,כן,לא,14,כפר כנא,פרטית,
357,קיה ספורטז',2017,2,1591,"83,000 ₪","100,000",בנזין,אוטומט,לבן פנינה,01/2017,01/2022,פרטית,לא,לא,14,יהוד מונוסון,ליסינג,
358,סקודה אוקטביה,2021,1,999,"135,000 ₪","20,000",בנזין,אוטומט,לבן,03/2021,03/2023,פרטית,לא,כן,4,דייר אל אסד,,
359,סקודה אוקטביה,2011,2,1197,"25,000 ₪","154,000",בנזין,אוטומט,תכלת מטאלי,12/2011,12/2022,פרטית,לא,לא,9,אשדוד,ליסינג,
360,סיאט לאון,2016,3,1395,"75,000 ₪","75,000",בנזין,ידנית,לבן,08/2016,09/2022,פרטית,לא,לא,12,באר שבע,פרטית,
361,מאזדה 6,2018,1,2488,"125,000 ₪","78,000",בנזין,אוטומט,לבן פנינה,06/2018,06/2022,פרטית,לא,לא,12,נתיבות,,
362,לקסוס LS460,2007,2,4608,"50,000 ₪","195,000",בנזין,אוטומט,כחול כהה,12/2007,12/2022,פרטית,לא,לא,15,אור עקיבא,פרטית,
363,סקודה ייטי / Yeti,2016,2,1197,"57,000 ₪","175,000",בנזין,אוטומט,אפור עכבר,12/2016,12/2021,פרטית,לא,לא,13,נצרת עילית / נוף הגליל,פרטית,
364,פורשה 911 טורבו,2017,3,3800,לא צוין מחיר,"79,000",בנזין,אוטומט,שחור מטאלי,01/2017,01/2022,פרטית,כן,לא,15,אזור,פרטית,
365,טויוטה קורולה,2016,2,1598,"73,000 ₪","92,000",בנזין,אוטומט,אפור עכבר,09/2016,09/2022,ליסינג,לא,לא,7,מודיעין מכבים רעות,ליסינג,
366,טויוטה קורולה,2016,3,1598,"72,000 ₪","138,000",בנזין,אוטומט,לבן,02/2016,02/2022,פרטית,לא,לא,7,טבריה,ליסינג,
367,מיני ONE,2013,4,1598,"55,000 ₪","106,000",בנזין,אוטומט,שחור מטאלי,,,פרטית,לא,לא,15,אשדוד,פרטית,
368,פיג'ו 307,2007,1,1587,"9,000 ₪","56,000",בנזין,ידנית,אפור עכבר,11/2007,11/2022,פרטית,לא,כן,NaN,תל אביב יפו,,
369,יונדאי i35,2015,3,1591,"56,000 ₪","135,000",בנזין,אוטומט,לבן,10/2015,10/2022,פרטית,לא,לא,14,בת חפר,פרטית,
370,אאודי A7,2021,1,1984,"481,000 ₪","11,000",היברידי חשמל / בנזין,אוטומט,שחור,01/2021,01/2023,פרטית,לא,לא,2,נצרת,,
371,סקודה אוקטביה,2014,2,1968,"50,000 ₪","451,000",דיזל,אוטומט,לבן מטאלי,07/2014,07/2022,פרטית,כן,לא,14,צפת,מונית,
372,סקודה אוקטביה,2017,2,999,"75,000 ₪","122,000",בנזין,אוטומט,כסוף מטאלי,07/2017,06/2022,פרטית,כן,לא,11,רכסים,חברה,
373,סיאט ארונה,2021,1,999,"123,000 ₪","9,500",בנזין,אוטומט,לבן מטאלי,04/2021,04/2022,פרטית,לא,לא,9,חיפה,,
374,מאזדה 5,2012,2,1999,"42,000 ₪","260,000",בנזין,אוטומט,אפור מטאלי,,07/2022,פרטית,לא,לא,15,קדימה צורן,פרטית,
375,ניסאן מיקרה,2011,5,1198,"18,000 ₪","154,000",בנזין,אוטומט,אפור עכבר,06/2011,04/2022,פרטית,לא,לא,7,נהריה,פרטית,
376,ניסאן אקס טרייל,2017,1,1598,"112,000 ₪","118,000",דיזל,אוטומט,שחור,10/2017,10/2022,פרטית,לא,לא,15,כפר יונה,,
377,קרייזלר גראנד וויאג'ר,2012,2,3604,"55,000 ₪","198,000",בנזין,אוטומט,כסוף מטאלי,01/2012,,פרטית,לא,לא,15,מי עמי,פרטית,
378,טויוטה קאמרי,2019,2,2500,"148,000 ₪","44,700",בנזין,אוטומט,כסוף מטאלי,03/2019,03/2022,פרטית,לא,לא,2,אור עקיבא,פרטית,
379,אאודי A3,2019,1,1984,"165,000 ₪","56,000",בנזין,אוטומט,לבן,01/2019,,פרטית,לא,לא,14,ירושלים,,
380,פולקסווגן ג'טה,2012,2,1197,"34,000 ₪","148,000",בנזין,אוטומט,לבן,09/2012,09/2022,פרטית,לא,לא,14,טבריה,פרטית,
381,סקודה אוקטביה,2015,3,1598,"22,000 ₪","500,000",דיזל,ידנית,לבן,07/2015,07/2022,פרטית,לא,לא,15,באר שבע,מונית,
382,מאזדה 3,2007,2,1598,"12,000 ₪","200,000",בנזין,אוטומט,זהב,06/2007,06/2022,פרטית,לא,לא,15,חיפה,פרטית,
383,סמארט פורטו,2021,1,,"129,000 ₪","4,950",חשמלי,אוטומט,לבן,06/2021,06/2023,פרטית,לא,לא,1,סביון,,.
384,אאודי A3,2015,2,1798,"91,000 ₪","130,000",בנזין,אוטומט,אפור מטאלי,07/2015,07/2022,פרטית,לא,לא,13,חיפה,פרטית,
385,מרצדס A-Class,2019,1,1333,"230,000 ₪","65,000",בנזין,אוטומט,שחור,,,פרטית,לא,לא,8,שדרות,,
386,מיני קאנטרימן,2021,1,1499,"238,000 ₪","7,000",היברידי חשמל / בנזין,אוטומט,שחור,01/2021,,פרטית,לא,לא,2,רמת השרון,,
387,מרצדס C-Class Taxi,2017,4,2143,"90,000 ₪","236,000",דיזל,אוטומט,לבן פנינה,01/2017,01/2022,פרטית,כן,לא,14,שדרות,מונית,
388,קיה סיד / CEED,2011,2,1591,"15,000 ₪","450,000",בנזין,אוטומט,כסוף,03/2011,03/2022,פרטית,לא,לא,15,חדרה,פרטית,
389,הונדה סיוויק (עד 2006),2002,4,1590,"6,500 ₪","222,000",בנזין,אוטומט,זהב,,02/2022,פרטית,לא,לא,NaN,קרית אונו,פרטית,
390,ניסאן אקס טרייל,2017,1,1598,"102,000 ₪","167,000",דיזל,אוטומט,אפור עכבר,09/2017,09/2022,פרטית,לא,לא,15,חיפה,,
391,סיאט לאון,2019,2,1395,"105,000 ₪","75,000",בנזין,אוטומט,אפור מטאלי,07/2019,,פרטית,לא,לא,4,כרמיאל,פרטית,
392,מאזדה 323 לאנטיס,2002,2,1991,"2,800 ₪","254,000",בנזין,אוטומט,כחול כהה,,,פרטית,לא,לא,NaN,בית שמש,פרטית,
393,סקודה סופרב (עד 2019),2016,4,1984,"145,000 ₪","71,000",בנזין,אוטומט,שחור מטאלי,07/2016,07/2022,פרטית,לא,לא,14,מבוא ביתר,פרטית,
394,ביואיק לה סייבר,2003,3,3791,"6,500 ₪","210,000",בנזין,אוטומט,ברונזה,,12/2021,פרטית,לא,לא,NaN,אריאל,פרטית,
395,יונדאי i35,2015,3,1591,"50,000 ₪","145,000",בנזין,אוטומט,כסוף,08/2015,,פרטית,לא,לא,14,ירושלים,פרטית,
396,שברולט טראוורס,2018,2,3564,"195,000 ₪","96,000",בנזין,אוטומט,לבן מטאלי,08/2018,08/2022,פרטית,לא,לא,15,נתיבות,חברה,
397,סוזוקי SX4,2012,2,1586,"39,000 ₪","107,000",בנזין,אוטומט,שחור מטאלי,07/2012,07/2022,פרטית,לא,לא,14,אשקלון,פרטית,
398,יונדאי i35,2012,2,1591,"31,000 ₪","210,000",בנזין,אוטומט,לבן,08/2012,07/2022,פרטית,לא,לא,14,אילת,השכרה,
399,טויוטה פריוס הייבריד,2009,3,1497,"26,000 ₪","219,000",בנזין,אוטומט,שחור,12/2009,12/2022,פרטית,לא,לא,4,גבעת זאב,פרטית,
400,מאזדה 6,2004,4,1999,"10,000 ₪","224,000",בנזין,אוטומט,שמפניה,,04/2022,פרטית,לא,לא,NaN,לוד,פרטית,
401,אאודי A6,2019,1,1798,"225,000 ₪","44,000",בנזין,אוטומט,לבן,01/2019,,פרטית,לא,לא,14,חיפה,,
402,סקודה אוקטביה,2019,2,999,לא צוין מחיר,"58,000",בנזין,אוטומט,לבן מטאלי,02/2019,05/2022,פרטית,לא,לא,5,עפולה,ליסינג,
403,ב.מ.וו סדרה 2,2021,1,1499,"224,000 ₪","25,500",בנזין,אוטומט,כחול מטאלי,01/2021,01/2024,פרטית,לא,לא,9,גדרה,,
404,סיאט איביזה,2013,2,1390,"27,000 ₪","108,000",בנזין,ידנית,לבן,06/2013,06/2022,פרטית,לא,לא,12,בת חפר,פרטית,
405,סקודה ראפיד,2017,2,1197,"51,000 ₪","119,000",בנזין,אוטומט,לבן,01/2017,01/2022,פרטית,לא,לא,6,שדרות,ליסינג,
406,מרצדס CLA,2015,4,1991,"170,000 ₪","130,000",בנזין,אוטומט,לבן,08/2015,08/2022,פרטית,לא,לא,15,אשדוד,פרטית,
407,מאזדה 6,2008,3,2488,"22,000 ₪","255,000",בנזין,אוטומט,ברונזה מטאלי,08/2008,09/2022,פרטית,לא,לא,15,באר שבע,פרטית,
408,מיצובישי אטראז',2015,2,1193,לא צוין מחיר,"86,000",בנזין,אוטומט,לבן שנהב,,,פרטית,לא,לא,4,"בני עי""ש",ליסינג,
409,מאזדה 6,2017,1,2488,"118,000 ₪","29,000",בנזין,אוטומט,שחור,06/2017,06/2022,פרטית,לא,לא,14,דימונה,,
410,קיה פיקנטו,2014,2,1248,"34,000 ₪","145,300",בנזין,אוטומט,תכלת,11/2014,11/2022,פרטית,לא,לא,6,קרית עקרון,פרטית,
411,סאנגיונג רודיוס,2009,2,2696,"33,000 ₪","171,000",דיזל,אוטומט,כסוף,04/2009,04/2022,פרטית,לא,לא,15,מודיעין עילית,פרטית,
412,סקודה אוקטביה,2011,3,1390,"32,499 ₪","175,000",בנזין,אוטומט,ירוק מטאלי,10/2011,10/2022,פרטית,כן,לא,9,קרית שמונה,פרטית,
413,אאודי TT,2017,3,1798,"190,000 ₪","70,000",בנזין,אוטומט,לבן,01/2017,,פרטית,לא,לא,13,פרדס חנה כרכור,פרטית,
414,טויוטה קורולה,2008,1,1598,"25,000 ₪","115,000",בנזין,רובוטית,שחור מטאלי,06/2008,06/2022,פרטית,לא,לא,15,חולון,,
415,פורד מונדאו,2012,1,1999,"20,000 ₪","170,000",בנזין,אוטומט,כחול כהה מטאלי,01/2012,01/2023,פרטית,לא,לא,15,בת ים,,
416,יונדאי איוניק,2017,2,1580,"90,000 ₪","127,000",בנזין,אוטומט,שחור מטאלי,06/2017,06/2022,פרטית,כן,לא,2,אור עקיבא,ליסינג,
417,סקודה אוקטביה,2008,2,1968,"20,000 ₪","234,000",דיזל,אוטומט,כחול כהה,12/2008,12/2022,פרטית,לא,לא,15,ירושלים,פרטית,
418,טויוטה קורולה,2010,2,1598,"30,000 ₪","193,000",בנזין,אוטומט,לבן,05/2010,05/2022,פרטית,לא,לא,15,צפת,פרטית,
419,סובארו B4,2006,4,1994,"7,000 ₪","251,000",בנזין,אוטומט,כסוף,05/2006,05/2022,פרטית,כן,כן,NaN,אום אל פחם,פרטית,
420,שברולט טראוורס,2019,1,3564,לא צוין מחיר,"50,000",בנזין,אוטומט,לבן,,,פרטית,לא,לא,15,חולון,,אוטו טרייד
421,דודג' ג'רני,2010,2,2360,"19,000 ₪","220,000",בנזין,אוטומט,לבן פנינה,11/2010,11/2022,פרטית,לא,לא,15,בן עמי,פרטית,
422,אאודי A3,2016,2,1798,לא צוין מחיר,"80,000",בנזין,אוטומט,שחור מטאלי,,,פרטית,לא,לא,13,בית שמש,פרטית,
423,סובארו B4,2011,3,1994,"24,000 ₪","180,000",בנזין,אוטומט,כחול,,,פרטית,כן,לא,15,זרזיר,פרטית,
424,יונדאי גטס,2007,4,1399,"9,000 ₪","242,000",בנזין,אוטומט,כסוף מטאלי,,11/2022,פרטית,לא,לא,14,מג'דל שמס,השכרה,
425,מאזדה 3,2009,3,1598,"20,000 ₪","159,000",בנזין,אוטומט,שחור,12/2009,12/2022,פרטית,לא,לא,15,פתח תקווה,פרטית,
426,יונדאי i20,2010,2,1396,"18,000 ₪","220,000",בנזין,אוטומט,אפור מטאלי,05/2010,05/2022,פרטית,לא,לא,13,תל אביב יפו,ליסינג,
427,קיה סיד / CEED,2012,1,1582,"13,000 ₪","415,000",דיזל,ידנית,כחול כהה,01/2012,01/2022,לימוד נהיגה,לא,לא,15,אשקלון,,
428,הונדה FR-V,2007,4,1799,"22,000 ₪","222,000",בנזין,אוטומט,כחול מטאלי,,03/2022,פרטית,לא,לא,15,בית אריה / עופרים,פרטית,
429,פיג'ו 3008,2016,2,1598,"45,000 ₪","120,000",בנזין,אוטומט,אפור עכבר,02/2016,02/2022,פרטית,לא,לא,14,כפר סבא,ליסינג,
430,לקסוס GS250,2012,3,2500,"88,000 ₪","109,000",בנזין,אוטומט,לבן פנינה,08/2012,08/2022,פרטית,לא,לא,15,חיפה,פרטית,
431,פורד מוסטנג,2006,2,4000,"82,000 ₪","130,000",בנזין,אוטומט,כסוף,10/2006,10/2022,פרטית,לא,לא,NaN,נתניה,פרטית,
432,שברולט מאליבו,2016,2,1998,"62,000 ₪","103,000",בנזין,אוטומט,לבן,04/2016,04/2022,פרטית,לא,לא,15,תל אביב יפו,פרטית,
433,סוזוקי SX4 קרוסאובר,2015,1,1586,"45,000 ₪","121,000",בנזין,ידנית,אפור עכבר,,02/2022,פרטית,לא,לא,14,חריש,,
434,ניסאן קשקאי,2015,1,1197,"65,000 ₪","123,000",בנזין,אוטומט,לבן פנינה,09/2015,,פרטית,כן,כן,14,אשקלון,,
435,ניסאן מיקרה,2019,2,1198,"46,000 ₪","32,000",בנזין,ידנית,לבן,02/2019,02/2022,פרטית,לא,לא,5,זכרון יעקב,פרטית,
436,פיאט 500,2015,1,875,"32,000 ₪","92,000",בנזין,ידנית,אדום,08/2015,04/2022,פרטית,כן,לא,7,חיפה,,
437,רנו קפצ'ור,2015,2,1197,"52,000 ₪","48,000",בנזין,אוטומט,כסף מטלי,09/2015,09/2022,פרטית,לא,לא,13,יקנעם עילית,פרטית,
438,סקודה סקאלה,2020,2,1498,"119,000 ₪","20,000",בנזין,אוטומט,אפור מטאלי,10/2020,10/2022,פרטית,לא,לא,5,רעננה,פרטית,
439,סיאט לאון,2015,3,1798,"85,000 ₪","114,500",בנזין,אוטומט,לבן,10/2015,10/2022,פרטית,כן,לא,14,ראשון לציון,פרטית,
440,אאודי A6,2009,2,2773,"40,000 ₪","136,000",בנזין,אוטומט,אפור מטאלי,04/2009,04/2022,פרטית,כן,לא,15,בועיינה נוג'יידאת,פרטית,
441,שברולט קרוז,2014,3,1598,"14,000 ₪","175,000",בנזין,אוטומט,אפור עכבר,04/2014,04/2022,פרטית,כן,לא,14,רמת גן,פרטית,
442,דייהטסו סיריון,2006,2,1298,"5,500 ₪","160,000",בנזין,אוטומט,ורוד,01/2006,02/2022,פרטית,לא,לא,4,לוד,פרטית,
443,מאזדה 6,2008,7,2488,"23,500 ₪","155,000",בנזין,אוטומט,כסוף מטאלי,06/2008,06/2022,פרטית,כן,לא,15,באר שבע,פרטית,
444,מאזדה 6,2008,7,2488,"23,500 ₪","155,000",בנזין,אוטומט,כסוף מטאלי,06/2008,06/2022,פרטית,כן,לא,15,באר שבע,פרטית,
445,טויוטה קורולה,2011,3,1598,"30,000 ₪","240,000",בנזין,אוטומט,לבן,11/2011,06/2022,פרטית,לא,לא,15,ערד,פרטית,
446,לקסוס IS300h,2015,2,2494,"115,000 ₪","147,000",בנזין,אוטומט,לבן פנינה,07/2015,07/2022,פרטית,לא,לא,4,פתח תקווה,פרטית,
447,סיאט איביזה,2018,3,999,"64,000 ₪","70,000",בנזין,אוטומט,לבן,06/2018,06/2022,פרטית,לא,לא,9,בועיינה נוג'יידאת,פרטית,
448,אופל אסטרה,2015,2,1364,"30,000 ₪","112,000",בנזין,אוטומט,שחור,11/2015,12/2022,פרטית,לא,לא,14,תל אביב יפו,ליסינג,
449,פיאט 500,2015,2,1242,"25,000 ₪","97,000",בנזין,dualogic,לבן,,10/2022,פרטית,לא,לא,7,דימונה,פרטית,
450,קרייזלר טאון קאנטרי,2006,2,3301,"15,000 ₪","200,000",בנזין,אוטומט,כסוף,11/2006,11/2022,פרטית,לא,לא,NaN,באקה אל ע'רביה,פרטית,
451,קאדילק ATS,2013,2,1998,לא צוין מחיר,174,בנזין,אוטומט,בז' מטאלי,01/2013,08/2022,פרטית,לא,לא,15,באר שבע,פרטית,
452,טויוטה ורסו,2018,2,1798,"99,000 ₪","105,000",בנזין,אוטומט,שחור,01/2018,06/2022,פרטית,לא,לא,14,ערד,ליסינג,
453,אם. ג'י. / MG ZS,2021,1,,"125,000 ₪","12,000",חשמלי,אוטומט,כחול מטאלי,08/2021,08/2022,פרטית,לא,לא,1,ערד,,
454,סקודה קודיאק,2021,1,1968,לא צוין מחיר,"15,000",דיזל,אוטומט,לבן,05/2021,05/2022,פרטית,לא,כן,14,כפר סבא,,
455,פולקסווגן פולו GTI,2016,1,1798,"89,500 ₪","167,000",בנזין,ידנית,לבן,06/2016,06/2022,פרטית,לא,לא,14,פלמחים,,
456,פיג'ו 308,2017,2,1199,"38,000 ₪","113,000",בנזין,אוטומט,אפור מטאלי,01/2017,01/2022,פרטית,לא,לא,10,רכסים,ליסינג,
457,יונדאי איוניק,2018,1,1580,"79,000 ₪","125,000",בנזין,אוטומט,לבן,09/2018,09/2022,ליסינג,כן,לא,2,חדרה,,כפיר עסקי רכב
458,פולקסווגן גולף,2014,2,1395,"50,000 ₪","138,000",בנזין,אוטומט,שחור,06/2014,06/2022,פרטית,לא,לא,14,תלמי יוסף,פרטית,
459,ניסאן אקס טרייל,2017,2,1598,"119,900 ₪","75,000",דיזל,אוטומט,לבן פנינה,02/2017,02/2022,חברה,לא,לא,15,ראשון לציון,חברה,
460,פורד מונדאו,2013,3,1999,"25,000 ₪","200,000",בנזין,אוטומט,לבן,01/2013,06/2022,פרטית,לא,לא,15,יבנה,פרטית,
461,פולקסווגן גולף,2013,1,1197,"42,000 ₪","167,000",בנזין,אוטומט,לבן,12/2013,12/2022,פרטית,לא,לא,14,רמת גן,,
462,טויוטה אוריס הייבריד,2017,1,1798,"74,000 ₪","120,000",בנזין,אוטומט,לבן,03/2017,03/2022,פרטית,לא,כן,3,בית נקופה,,
463,קרייזלר טאון קאנטרי,2010,2,3778,"36,000 ₪","136,255",בנזין,אוטומט,תכלת,07/2010,03/2022,פרטית,לא,לא,15,נתיבות,פרטית,
464,מרצדס GLA,2020,1,1332,"245,000 ₪","18,500",בנזין,אוטומט,לבן פנינה,10/2020,10/2022,פרטית,לא,לא,11,אשדוד,,
465,שברולט אפלנדר,2008,2,3880,"21,000 ₪","330,000",בנזין,אוטומט,ברונזה מטאלי,08/2008,08/2022,חברה,לא,לא,15,רחובות,פרטית,
466,סקודה ראפיד,2013,2,1197,"28,000 ₪","135,000",בנזין,ידנית,אפור עכבר,08/2013,08/2022,פרטית,כן,לא,14,אריאל,פרטית,
467,פיג'ו 5008,2012,3,1598,"19,000 ₪","120,000",בנזין,אוטומט,אפור מטאלי,04/2012,04/2022,פרטית,לא,כן,15,רחובות,פרטית,
468,אינפיניטי Q50,2015,3,1991,"119,900 ₪","148,000",בנזין,אוטומט,לבן פנינה,03/2015,03/2022,פרטית,לא,לא,14,אשקלון,פרטית,
469,הונדה סיוויק סדאן החדשה,2008,3,1799,"18,000 ₪","226,461",בנזין,אוטומט,כסוף,,,פרטית,לא,לא,14,טבריה,פרטית,
470,יונדאי סונטה הייבריד,2020,1,1999,"185,500 ₪","30,000",בנזין,אוטומט,שחור מטאלי,10/2020,10/2022,פרטית,לא,לא,3,ירושלים,,
471,ניסאן מיקרה,2018,1,1198,"55,500 ₪","86,000",בנזין,אוטומט,אפור מטאלי,09/2018,09/2022,פרטית,לא,לא,5,נתיבות,,
472,לנד רובר ריינג' רובר ספורט,2020,2,1997,"555,000 ₪","33,000",היברידי חשמל / בנזין,אוטומט,לבן,12/2020,12/2022,פרטית,לא,לא,2,קרית אתא,חברה,
473,טויוטה יאריס,2007,3,1298,"21,000 ₪","134,000",בנזין,רובוטית,כחול,07/2007,07/2022,פרטית,לא,כן,NaN,ירושלים,פרטית,
474,וולוו S60,2009,1,1984,"28,000 ₪","169,000",בנזין,אוטומט,כסוף,01/2009,07/2022,פרטית,לא,לא,15,ראש העין,,
475,רנו קפצ'ור,2015,2,1197,"44,100 ₪","152,000",בנזין,אוטומט,קרם,03/2015,03/2022,פרטית,לא,לא,13,פרדס חנה כרכור,פרטית,
476,שברולט טראוורס,2015,1,3564,"82,500 ₪","133,000",בנזין,אוטומט,כסוף מטאלי,08/2015,08/2022,פרטית,לא,לא,15,ירושלים,,
477,מרצדס E-Class,2013,2,3498,לא צוין מחיר,212,בנזין,אוטומט,כסוף מטאלי,01/2013,01/2022,פרטית,לא,לא,15,באקה אל ע'רביה,פרטית,
478,אופל אינסיגניה,2015,2,1598,"43,000 ₪","123,000",בנזין,אוטומט,כסוף מטאלי,09/2015,09/2022,פרטית,לא,לא,15,זכרון יעקב,ליסינג,
