,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,בעלות קודמת,שם הסוכנות:
58,ניסאן מיקרה,2017,2,1198,"33,500 ₪","75,000",בנזין,ידנית,שחור,03/2017,03/2022,פרטית,לא,לא,7,חצור הגלילית,פרטית,
59,פיג'ו 208,2015,3,1199,"24,800 ₪","139,000",בנזין,ידנית,לבן מטאלי,,,פרטית,לא,לא,7,ראש העין,פרטית,
60,פיג'ו 308,2015,3,1199,"28,000 ₪","160,000",בנזין,אוטומט,שחור,05/2015,10/2022,פרטית,לא,לא,12,אשקלון,פרטית,
61,יונדאי i10,2021,1,1197,"72,500 ₪","17,200",בנזין,אוטומט,אפור,04/2021,04/2024,פרטית,לא,לא,8,בית אריה / עופרים,,
62,ג'יפ / Jeep גרנד צ'ירוקי,2021,1,3604,"300,000 ₪","11,000",בנזין,אוטומט,לבן מטאלי,07/2021,,פרטית,לא,לא,NaN,שדמות דבורה,,
63,טויוטה יאריס,2005,4,1298,"9,500 ₪","242,000",בנזין,אוטומט,ירוק בהיר,,07/2022,פרטית,לא,לא,NaN,חדרה,פרטית,
64,הונדה סיוויק סדאן החדשה,2008,3,1799,"23,500 ₪","183,000",בנזין,ידנית,כחול בהיר מטאלי,06/2008,06/2022,פרטית,לא,לא,14,רחובות,פרטית,
65,שברולט טראקס,2015,2,1796,"35,000 ₪","156,000",בנזין,אוטומט,כחול,06/2015,,פרטית,לא,לא,14,קרית גת,ליסינג,
66,הונדה סיוויק (עד 2006),2005,2,1590,לא צוין מחיר,"209,000",בנזין,אוטומט,לבן,,07/2022,פרטית,לא,לא,NaN,קצרין,פרטית,
67,דאצ'יה סנדרו Stepway,2019,1,898,"56,000 ₪","53,000",בנזין,אוטומט,לבן,01/2019,01/2022,פרטית,לא,לא,12,אשדוד,,
68,סובארו B4,2008,3,1994,"13,520 ₪","230,000",בנזין,אוטומט,שחור מטאלי,10/2008,11/2022,פרטית,לא,לא,15,באר שבע,פרטית,
69,יונדאי i30CW,2010,3,1975,"16,000 ₪","158,000",בנזין,אוטומט,כחול,09/2010,06/2022,פרטית,לא,לא,15,קרית מלאכי,השכרה,
70,פולקסווגן ג'טה,2007,5,1896,"14,000 ₪","320,000",דיזל,אוטומט,זהב מטאלי,02/2007,02/2022,פרטית,כן,לא,15,צפת,פרטית,
71,סיאט לאון,2016,1,1798,"115,000 ₪","118,000",בנזין,אוטומט,לבן פנינה,01/2016,01/2022,פרטית,כן,לא,12,אביבים,,
72,שברולט טראקס,2017,1,1364,"60,000 ₪","100,000",בנזין,אוטומט,שחור מטאלי,09/2017,09/2022,פרטית,לא,כן,14,עספיא,,
73,הונדה אינסייט,2014,2,1339,"33,000 ₪","209,000",בנזין,אוטומט,אפור,,09/2022,פרטית,לא,לא,4,כפר מנדא,פרטית,
74,אברת' 500c,2014,3,1368,"65,000 ₪","126,000",בנזין,רובוטית,אפור עכבר,08/2014,,פרטית,לא,לא,14,ירושלים,פרטית,
75,סיאט איביזה,2011,5,1197,לא צוין מחיר,"150,000",בנזין,אוטומט,אדום,07/2011,07/2022,פרטית,לא,לא,14,בני ברק,פרטית,
76,מרצדס GLC,2016,1,1991,"190,000 ₪","66,000",בנזין,אוטומט,תכלת,05/2016,05/2022,פרטית,לא,לא,15,רעננה,,
77,סיטרואן C3 פיקאסו,2011,2,1560,"12,000 ₪","340,000",דיזל,ידנית,שחור,03/2011,03/2022,פרטית,לא,לא,14,טירת כרמל,פרטית,
78,אאודי Q5,2011,3,1984,"71,000 ₪","136,000",בנזין,אוטומט,כסוף מטאלי,04/2011,04/2022,פרטית,לא,לא,15,גבעת זאב,פרטית,
79,סובארו B4,2007,4,1994,"8,500 ₪","300,000",בנזין,אוטומט,אפור מטאלי,12/2007,,פרטית,לא,לא,NaN,רהט,פרטית,
80,פולקסווגן שירוקו,2011,4,1390,"49,500 ₪","142,000",בנזין,אוטומט,שחור מטאלי,09/2011,09/2022,פרטית,לא,לא,15,זכרון יעקב,פרטית,
81,לקסוס GS300H,2016,2,2494,"156,000 ₪","70,000",בנזין,אוטומט,לבן פנינה,06/2016,07/2022,פרטית,לא,לא,4,ירושלים,פרטית,
82,יונדאי טרג'ט,2006,3,2656,"13,500 ₪","224,000",בנזין,אוטומט,כחול כהה מטאלי,06/2006,06/2022,פרטית,לא,לא,NaN,בני ברק,פרטית,
83,אלפא רומיאו סטלויו,2017,2,1995,"220,000 ₪","56,000",בנזין,אוטומט,שחור מטאלי,07/2017,07/2022,פרטית,כן,לא,15,רעננה,פרטית,
84,שברולט טראוורס,2018,1,3564,"245,000 ₪","36,000",בנזין,אוטומט,פלטינה,09/2018,09/2022,פרטית,לא,לא,15,ירושלים,,
85,ניסאן קשקאי,2010,3,1997,"33,500 ₪","156,000",בנזין,אוטומט,כחול כהה,02/2010,,פרטית,לא,לא,15,אשקלון,פרטית,
86,סקודה סיטיגו / Citigo,2013,3,999,"21,500 ₪","109,000",בנזין,רובוטית,שחור,,11/2022,פרטית,לא,לא,5,בני ברק,פרטית,
87,יונדאי i10,2016,1,1248,לא צוין מחיר,"90,413",בנזין,אוטומט,כתום,11/2016,11/2022,פרטית,לא,לא,11,פתח תקווה,,סגל סער ציוד ורכב
88,יונדאי גטס,2008,7,1399,לא צוין מחיר,"270,464",בנזין,ידנית,אפור,,05/2022,פרטית,לא,לא,14,מג'דל שמס,פרטית,
89,מיצובישי כריזמה,2003,2,1597,לא צוין מחיר,"203,000",בנזין,אוטומט,ירוק בקבוק,,10/2022,פרטית,לא,לא,NaN,עספיא,פרטית,
90,מאזדה MPV,2003,3,2967,"12,500 ₪","280,500",בנזין,אוטומט,כסוף,,06/2022,פרטית,לא,לא,NaN,עלי,פרטית,
91,טויוטה קורולה,2013,2,1598,"48,000 ₪","125,200",בנזין,אוטומט,כסוף מטאלי,02/2013,02/2022,פרטית,לא,לא,14,בני ברק,פרטית,
92,מיצובישי לנסר הדור החדש,2010,3,1798,"26,999 ₪","170,000",בנזין,אוטומט,שחור,01/2010,05/2022,פרטית,לא,לא,15,חדרה,פרטית,
93,רנו קדגא'ר,2017,2,1461,"86,000 ₪","96,000",דיזל,אוטומט,לבן פנינה,06/2017,06/2022,פרטית,לא,לא,13,מודיעין מכבים רעות,פרטית,
94,ב.מ.וו סדרה 3,2015,1,1598,"75,000 ₪","250,000",בנזין,אוטומט,לבן מטאלי,03/2015,03/2022,פרטית,לא,לא,14,שפרעם,,
95,ב.מ.וו סדרה 2,2019,3,1499,"153,000 ₪","59,000",בנזין,אוטומט,לבן פנינה,05/2019,05/2022,פרטית,לא,לא,14,ירושלים,פרטית,
96,מרצדס C-Class Taxi,2017,2,2143,"85,000 ₪","280,000",דיזל,אוטומט,לבן,03/2017,03/2022,לימוד נהיגה,לא,לא,14,אשקלון,מונית,
97,סקודה ייטי / Yeti,2015,1,1197,לא צוין מחיר,"150,000",בנזין,אוטומט,שחור,09/2015,09/2022,פרטית,לא,לא,15,טבריה,,
98,טויוטה קורולה,2018,2,1598,לא צוין מחיר,"105,000",בנזין,אוטומט,לבן,11/2018,01/2022,פרטית,לא,לא,11,יסוד המעלה,פרטית,
99,מאזדה 6,2014,7,2488,"60,000 ₪","100,000",בנזין,אוטומט,לבן פנינה,05/2014,05/2022,פרטית,לא,לא,14,חדרה,פרטית,
100,סוזוקי סוויפט,2001,4,1298,"5,000 ₪","141,000",בנזין,אוטומט,אפור,,07/2022,פרטית,לא,לא,NaN,הרצליה,פרטית,
101,מיצובישי אטראז',2021,1,1193,לא צוין מחיר,"7,000",בנזין,אוטומט,לבן שנהב,02/2021,02/2022,פרטית,לא,לא,4,קרית מוצקין,,
102,פולקסווגן איוס,2008,3,3189,"76,000 ₪","158,000",בנזין,אוטומט,אפור,09/2008,09/2022,פרטית,לא,לא,15,בת ים,פרטית,
103,יונדאי טרג'ט,2006,4,1991,"13,000 ₪","290,000",דיזל,אוטומט,לבן,,,ייבוא אישי,לא,לא,NaN,נצרת,ייבוא אישי,
104,הונדה סיוויק האצ'בק החדשה,2014,3,1798,"50,000 ₪","149,000",בנזין,אוטומט,כחול כהה,04/2014,04/2022,פרטית,כן,לא,14,אור עקיבא,פרטית,
105,רנו קליאו דור 4 (2013-2019),2017,2,1197,"51,500 ₪","67,000",בנזין,אוטומט,לבן מטאלי,08/2017,08/2021,פרטית,לא,לא,10,מבשרת ציון,פרטית,
106,מאזדה 3,2007,4,1999,"13,500 ₪","240,000",בנזין,אוטומט,אפור מטאלי,,09/2022,פרטית,לא,לא,15,אשקלון,פרטית,
107,מאזדה פרמסי,2001,2,1840,"6,500 ₪","135,000",בנזין,אוטומט,כתום,,06/2022,פרטית,לא,לא,NaN,נתניה,פרטית,
108,סקודה אוקטביה,2016,2,1197,"49,900 ₪","148,000",בנזין,אוטומט,כחול מטאלי,05/2016,05/2022,פרטית,לא,לא,9,נתיבות,ליסינג,
109,סוזוקי ויטרה,2016,1,1586,"74,500 ₪","85,000",בנזין,אוטומט,כסף מטלי,01/2016,01/2022,פרטית,לא,לא,10,ירושלים,,
110,הונדה סיוויק סדאן החדשה,2010,5,1799,"23,000 ₪","199,000",בנזין,אוטומט,כחול בהיר מטאלי,,01/2022,פרטית,לא,לא,14,ירושלים,פרטית,
111,הונדה סיוויק (עד 2006),2002,4,1590,"6,990 ₪","150,000",בנזין,אוטומט,אפור,,12/2021,פרטית,לא,לא,NaN,ירושלים,פרטית,
112,ניסאן ג'וק / Juke,2019,1,1598,"93,000 ₪","24,800",בנזין,אוטומט,שחור מטאלי,11/2019,11/2022,פרטית,לא,לא,14,אשדוד,,
113,יונדאי i35,2015,2,1591,"55,000 ₪","88,000",בנזין,אוטומט,שחור,07/2015,07/2022,פרטית,לא,לא,14,כפר ורדים,פרטית,
114,הונדה סיוויק סדאן החדשה,2009,3,1799,"16,500 ₪",255,בנזין,אוטומט,אפור מטאלי,09/2009,03/2022,פרטית,כן,לא,14,חד נס,פרטית,
115,סוזוקי ליאנה,2007,4,1586,"7,300 ₪","270,000",בנזין,אוטומט,אפור,08/2007,10/2022,השכרה,לא,לא,NaN,נצרת עילית / נוף הגליל,פרטית,
116,פולקסווגן פולו,2005,2,1390,"7,000 ₪","152,000",בנזין,ידנית,אפור מטאלי,03/2005,03/2022,פרטית,לא,לא,NaN,כרמיאל,פרטית,
117,פיג'ו 206 +,2012,1,1360,"10,000 ₪","156,000",בנזין,ידנית,אדום,,,פרטית,לא,לא,14,שתולים,,
118,אאודי A1,2014,5,1984,"135,000 ₪","110,000",בנזין,ידנית,טורקיז,,08/2022,פרטית,לא,לא,13,הרצליה,פרטית,
119,טסלה מודל 3,2021,1,,"206,500 ₪",1,חשמלי,אוטומט,לבן פנינה,,,פרטית,לא,לא,1,רחובות,,
120,סקודה סופרב (עד 2019),2018,3,1395,"115,000 ₪","70,000",בנזין,אוטומט,אפור,,,פרטית,לא,לא,14,טורעאן,פרטית,
121,שברולט קוואליר,1997,2,2190,"4,200 ₪","120,000",בנזין,אוטומט,ירוק בהיר,11/1997,05/2022,פרטית,לא,לא,NaN,שדות ים,פרטית,
122,מאזדה 5,2006,6,1999,"12,500 ₪","248,000",בנזין,אוטומט,אפור עכבר,02/2006,02/2022,פרטית,לא,לא,NaN,בני ברק,השכרה,
123,מאזדה 5,2006,3,1999,"14,900 ₪","200,000",בנזין,אוטומט,שחור,,07/2022,פרטית,לא,לא,NaN,בני ברק,פרטית,
124,סוזוקי SX4 קרוסאובר,2015,2,1586,"58,000 ₪","94,000",בנזין,אוטומט,לבן פנינה,,06/2022,פרטית,לא,לא,14,גנות הדר,פרטית,...
125,מאזדה 6,2009,2,1999,"20,000 ₪","300,000",בנזין,אוטומט,אפור עכבר,,07/2022,פרטית,לא,לא,15,פתח תקווה,פרטית,
126,ניסאן מיקרה,2014,2,1198,"16,900 ₪","164,000",בנזין,ידנית,ירוק מטאלי,03/2014,03/2022,פרטית,כן,לא,7,ירושלים,ייבוא מקביל,
127,קיה פיקנטו,2016,3,998,"42,000 ₪","90,000",בנזין,אוטומט,תכלת,08/2016,05/2022,פרטית,לא,לא,9,מבשרת ציון,פרטית,
128,מרצדס C-Class Taxi,2010,5,2149,"22,500 ₪","28,500",דיזל,אוטומט,לבן,05/2010,02/2022,פרטית,לא,לא,15,באר שבע,מונית,
129,ניסאן מיקרה,2018,1,1198,"40,000 ₪","80,000",בנזין,ידנית,לבן,07/2018,07/2022,פרטית,לא,לא,5,גבעת יואב,,
130,יונדאי אלנטרה (2016 ואילך),2016,3,1591,"62,000 ₪","138,000",בנזין,אוטומט,לבן,06/2016,06/2022,פרטית,לא,לא,13,באר שבע,ליסינג,
131,אופל אסטרה,2012,2,1364,"18,000 ₪","180,000",בנזין,אוטומט,שחור,02/2012,02/2022,פרטית,לא,לא,14,כפר קאסם,פרטית,
132,מאזדה 323 לאנטיס,2000,4,1840,"4,500 ₪","220,000",בנזין,אוטומט,ירוק בקבוק,05/2000,,פרטית,לא,לא,NaN,קדומים,פרטית,
133,ביואיק לה סייבר,1997,4,3791,"7,000 ₪","300,000",בנזין,אוטומט,סגול חציל,,01/2022,פרטית,לא,לא,NaN,ירושלים,פרטית,
134,קאדילק XT4,2020,1,1977,"235,000 ₪","17,000",בנזין,אוטומט,אפור מטאלי,01/2020,01/2022,פרטית,לא,לא,14,תל אביב יפו,,
135,סקודה סופרב (עד 2019),2017,2,1395,"95,000 ₪","200,000",בנזין,אוטומט,חום,04/2017,04/2022,פרטית,לא,לא,12,כפר מנדא,פרטית,
136,דייהטסו סיריון,2008,3,1298,"8,500 ₪","213,000",בנזין,אוטומט,לבן,09/2008,09/2022,פרטית,לא,לא,13,ירושלים,פרטית,
137,הונדה סיוויק סדאן החדשה,2006,6,1799,"15,500 ₪","192,000",בנזין,אוטומט,כסוף מטאלי,,06/2022,פרטית,לא,לא,14,רמת גן,פרטית,
138,יונדאי i20,2021,1,998,"97,000 ₪","12,000",בנזין,אוטומט,כסוף,01/2021,01/2022,פרטית,לא,לא,7,בית חשמונאי,,
139,סיאט איביזה,2007,9,1781,"35,000 ₪","205,000",בנזין,ידנית,כסוף,03/2007,03/2022,פרטית,לא,לא,NaN,רחובות,פרטית,
140,יונדאי אלנטרה (2001-2007),2005,3,1599,"7,000 ₪","250,000",בנזין,אוטומט,אפור מטאלי,11/2005,01/2023,פרטית,לא,לא,NaN,פתח תקווה,פרטית,
141,סקודה ייטי / Yeti,2012,2,1197,"35,000 ₪","240,000",בנזין,אוטומט,חום,03/2012,03/2022,פרטית,לא,לא,15,שמשית,פרטית,
142,טויוטה יאריס,2018,1,1496,"82,000 ₪","69,000",בנזין,אוטומט,לבן פנינה,09/2018,09/2022,פרטית,לא,לא,4,הוד השרון,,
