,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,שם הסוכנות:
151,מאזדה 3,2018,2,1998,"75,000 ₪","135,000",בנזין,אוטומט,לבן פנינה,01/2018,01/2022,פרטית,ליסינג,כן,לא,12,כפר סבא,
152,טויוטה קאמרי,2010,7,2362,"28,000 ₪","168,000",בנזין,אוטומט,אפור מטאלי,,05/2022,פרטית,פרטית,לא,לא,15,אור יהודה,
153,סובארו לאונה,1992,4,1600,"8,200 ₪","352,000",בנזין,ידנית,לבן,,,פרטית,פרטית,לא,לא,NaN,נחליאל,
154,סיטרואן C4,2009,5,1587,"9,000 ₪","200,000",בנזין,אוטומט,ברונזה,12/2009,12/2022,פרטית,פרטית,לא,לא,15,בית שאן,
155,טויוטה יאריס,2001,3,1298,"5,500 ₪","340,000",בנזין,אוטומט,ירוק בקבוק,04/2001,04/2022,פרטית,פרטית,לא,לא,NaN,פרדס חנה כרכור,
156,מאזדה 3,2018,2,1998,"92,000 ₪","40,000",בנזין,אוטומט,אפור,05/2018,05/2022,פרטית,ליסינג,לא,לא,12,הרצליה,
157,קיה פיקנטו,2016,1,1248,"48,000 ₪","93,000",בנזין,אוטומט,אדום מטאלי,08/2016,08/2022,פרטית,,לא,לא,9,כפר יונה,
158,שברולט קפטיבה,2008,6,3195,"20,000 ₪","270,000",בנזין,אוטומט,שחור,08/2008,08/2022,פרטית,פרטית,לא,לא,15,ירושלים,
159,פיג'ו 407,2008,3,1997,"6,000 ₪","190,000",בנזין,אוטומט,כחול,,,פרטית,פרטית,לא,לא,15,כפר סילבר,
160,סיאט איביזה,2013,1,1390,"20,000 ₪","140,000",בנזין,ידנית,לבן,04/2013,04/2022,פרטית,,לא,לא,12,תל אביב יפו,
161,סוזוקי SX4 קרוסאובר,2015,2,1586,"58,000 ₪","94,000",בנזין,אוטומט,לבן פנינה,,06/2022,פרטית,פרטית,לא,לא,14,גנות הדר,...
162,סקודה אוקטביה,2016,2,1197,"56,000 ₪","149,000",בנזין,אוטומט,חום מטאלי,07/2016,01/2022,פרטית,ליסינג,לא,לא,9,באר שבע,
163,מאזדה 3,2009,2,1598,"20,000 ₪","194,000",בנזין,אוטומט,שחור מטאלי,02/2009,11/2022,פרטית,ליסינג,לא,לא,15,ירוחם,
164,פיג'ו 308,2012,2,1598,"17,000 ₪","109,000",בנזין,אוטומט,פלטינה,01/2012,01/2023,פרטית,פרטית,לא,לא,15,חנתון,
165,ניסאן אקס טרייל,2016,2,1598,לא צוין מחיר,"71,000",דיזל,אוטומט,כסוף מטאלי,01/2016,,פרטית,פרטית,כן,לא,14,בני ברק,
166,פולקסווגן T-Cross,2021,1,999,"125,000 ₪","1,100",בנזין,אוטומט,לבן,04/2021,04/2024,פרטית,,לא,לא,13,חיפה,
167,פולקסווגן חיפושית החדשה,2018,1,1197,"215,000 ₪","86,000",בנזין,אוטומט,שחור,05/2018,05/2022,פרטית,,לא,לא,9,קיסריה,
168,מאזדה 2,2011,3,1498,"14,500 ₪","235,000",בנזין,אוטומט,לבן,02/2011,,פרטית,ליסינג,כן,לא,14,חיפה,
169,טויוטה קורולה,2012,3,1598,"40,000 ₪","188,000",בנזין,אוטומט,אפור מטאלי,12/2012,12/2021,פרטית,פרטית,לא,לא,14,ראש העין,
170,קרייזלר גראנד וויאג'ר,2011,3,3778,"42,000 ₪","145,000",בנזין,אוטומט,לבן,04/2011,04/2022,פרטית,פרטית,כן,לא,15,אשדוד,
171,שברולט אופטרה,2009,3,1598,"8,000 ₪","140,000",בנזין,אוטומט,ברונזה מטאלי,09/2009,11/2022,פרטית,פרטית,לא,לא,15,בית שמש,
172,אאודי A3,2017,2,1395,"115,000 ₪","68,000",בנזין,אוטומט,לבן פנינה,01/2017,02/2022,פרטית,פרטית,כן,לא,12,מודיעין מכבים רעות,
173,סקודה סיטיגו / Citigo,2013,2,999,"16,500 ₪","180,000",בנזין,רובוטית,כסוף,06/2013,06/2022,פרטית,פרטית,לא,לא,5,נצרת עילית / נוף הגליל,
174,האמר H3,2007,3,3653,"76,000 ₪","230,000",בנזין,אוטומט,צהוב,,,פרטית,פרטית,לא,לא,15,קרית גת,
175,יונדאי i30,2016,1,1591,לא צוין מחיר,"198,000",בנזין,אוטומט,לבן,04/2016,04/2022,חברה,,לא,לא,12,מגדל תפן,
176,פיאט טיפו,2017,2,1598,"39,000 ₪","80,000",בנזין,אוטומט,שחור,08/2017,08/2022,פרטית,פרטית,לא,לא,15,קרית מוצקין,
177,מאזדה 3,2015,4,1496,"52,000 ₪","126,000",בנזין,אוטומט,כסוף,02/2015,02/2022,פרטית,פרטית,לא,לא,11,ירושלים,
178,סקודה ייטי / Yeti,2015,2,1197,"48,000 ₪",177,בנזין,אוטומט,אפור מטאלי,10/2015,10/2022,פרטית,פרטית,לא,לא,15,באר שבע,
179,טסלה מודל 3,2021,1,,"203,000 ₪","23,000",חשמלי,אוטומט,לבן פנינה,06/2021,05/2022,פרטית,,לא,לא,1,ירושלים,
180,אינפיניטי G37,2011,3,3696,"45,000 ₪","5,555,555",בנזין,אוטומט,לבן פנינה,,,פרטית,פרטית,לא,לא,15,באר שבע,
181,יונדאי i10,2013,3,1086,"13,000 ₪","191,000",בנזין,ידנית,אפור עכבר,,,פרטית,פרטית,לא,לא,9,כרמיאל,
182,סיאט איביזה,2018,2,999,לא צוין מחיר,"58,000",בנזין,אוטומט,לבן פנינה,03/2018,01/2023,פרטית,פרטית,לא,לא,9,מודיעין מכבים רעות,
183,טויוטה C-HR,2020,2,1798,לא צוין מחיר,"35,000",בנזין,אוטומט,אפור מטאלי,10/2020,,פרטית,פרטית,לא,לא,2,גדרה,
184,סיטרואן C אליזה,2013,2,1587,"15,000 ₪","187,000",בנזין,אוטומט,לבן,03/2013,03/2022,פרטית,השכרה,לא,לא,15,ערד,
185,סקודה אוקטביה,2015,2,1197,"52,000 ₪","160,000",בנזין,אוטומט,כחול מטאלי,03/2015,03/2022,פרטית,פרטית,לא,לא,15,חדרה,
186,טויוטה קורולה,2015,2,1598,"65,000 ₪","133,000",בנזין,אוטומט,לבן פנינה,08/2015,08/2022,פרטית,פרטית,כן,לא,7,אשקלון,
187,ניסאן מיקרה,2008,3,1386,"10,000 ₪","183,000",בנזין,אוטומט,כחול,04/2008,01/2022,פרטית,פרטית,לא,לא,15,בית שמש,
188,סקודה אוקטביה,2016,2,1968,"50,000 ₪","160,000",דיזל,אוטומט,לבן,01/2016,01/2022,פרטית,מונית,לא,לא,9,נתניה,
189,מאזדה 3,2004,2,1999,"9,500 ₪","160,000",בנזין,אוטומט,לבן,02/2004,02/2022,פרטית,פרטית,לא,לא,15,ירושלים,
190,מיצובישי אטראז',2014,2,1193,"20,000 ₪","226,000",בנזין,אוטומט,כסוף,11/2014,11/2022,פרטית,השכרה,כן,לא,4,אשדוד,
191,מרצדס E-Class,2011,3,2143,"51,499 ₪","286,000",דיזל,אוטומט,כסוף,05/2011,05/2022,פרטית,מונית,לא,לא,15,באקה אל ע'רביה,
192,סוזוקי SX4,2013,2,1586,"40,000 ₪","90,000",בנזין,אוטומט,שחור מטאלי,01/2013,01/2022,פרטית,פרטית,לא,לא,14,כפר סבא,
193,יונדאי אקסנט (עד 2012),2008,3,1399,"13,000 ₪","150,000",בנזין,אוטומט,כסוף מטאלי,02/2008,02/2022,פרטית,ליסינג,לא,לא,15,עכו,
194,אופל אדם,2015,3,1398,"36,000 ₪","94,000",בנזין,אוטומט,שחור מטאלי,,,פרטית,פרטית,לא,לא,7,רמת השרון,
195,רנו מגאן גראנד קופה,2021,1,1461,לא צוין מחיר,"8,888,888",דיזל,אוטומט,לבן,11/2021,11/2022,פרטית,,לא,לא,6,באר שבע,
196,מיצובישי ספייס וואגן,2000,2,1997,"9,000 ₪","250,000",בנזין,אוטומט,שחור,,04/2022,פרטית,פרטית,לא,לא,NaN,טירת כרמל,
197,רנו קליאו דור 4 (2013-2019),2017,1,1197,"50,000 ₪","60,000",בנזין,אוטומט,שחור מטאלי,04/2017,05/2022,פרטית,,לא,כן,10,תל אביב יפו,
198,יונדאי איוניק,2018,1,1580,"79,000 ₪","125,000",בנזין,אוטומט,לבן,09/2018,09/2022,ליסינג,,כן,לא,2,חדרה,כפיר עסקי רכב
199,יונדאי סונטה הייבריד,2017,2,1999,"115,000 ₪","82,000",בנזין,אוטומט,שחור מטאלי,06/2017,07/2022,פרטית,פרטית,לא,לא,3,באר שבע,
200,טויוטה אוריס הייבריד,2018,2,1798,"89,000 ₪","84,000",בנזין,אוטומט,שחור מטאלי,09/2018,09/2022,פרטית,ליסינג,לא,לא,3,ראשון לציון,
201,סובארו B3 סדאן,2010,3,1498,"12,500 ₪","150,000",בנזין,אוטומט,ירוק בהיר,,11/2022,חברה,ליסינג,לא,לא,15,טירת כרמל,
202,סקודה אוקטביה,2019,2,1968,לא צוין מחיר,"150,000",דיזל,אוטומט,לבן מטאלי,11/2019,11/2022,מונית,מונית,לא,לא,5,נצרת עילית / נוף הגליל,
203,אאודי A4,2015,2,1798,"79,000 ₪","109,000",בנזין,אוטומט,לבן,01/2015,10/2022,פרטית,פרטית,לא,לא,14,אשקלון,
204,ניסאן אקס טרייל,2021,2,1749,"198,000 ₪","5,500",דיזל,אוטומט,שחור מטאלי,06/2021,06/2022,פרטית,פרטית,לא,לא,14,שקד,
205,ב.מ.וו סדרה 1,2008,6,1995,"26,000 ₪","160,000",בנזין,אוטומט,שחור,04/2008,08/2022,פרטית,פרטית,לא,לא,15,ירושלים,
206,טויוטה C-HR,2017,1,1798,"116,000 ₪","64,000",בנזין,אוטומט,לבן פנינה,05/2017,05/2022,פרטית,,לא,לא,3,ירדנה,
207,קיה פיקנטו,2013,1,998,"18,000 ₪","129,500",בנזין,ידנית,אפור עכבר,08/2013,10/2022,פרטית,,לא,לא,6,חדרה,
208,מיצובישי אקליפס קרוס,2019,1,1499,"138,000 ₪","24,000",בנזין,אוטומט,לבן,,,פרטית,,לא,לא,14,חדרה,
209,סוזוקי אלטו,2015,3,996,"19,000 ₪","113,023",בנזין,ידנית,לבן פנינה,01/2015,01/2022,פרטית,פרטית,כן,לא,6,ירושלים,
210,טויוטה אוריס הייבריד,2017,1,1798,"62,990 ₪","143,000",בנזין,אוטומט,אפור מטאלי,02/2017,02/2022,חברה,,לא,לא,3,חריש,
211,יונדאי גטס,2008,3,1599,"7,000 ₪","250,000",בנזין,אוטומט,צהוב,,05/2022,פרטית,פרטית,לא,לא,14,בית שמש,
212,אופל מוקה,2016,2,1364,"48,500 ₪","79,000",בנזין,אוטומט,אפור עכבר,01/2016,01/2022,פרטית,ליסינג,לא,לא,13,אשדוד,
213,יונדאי i20,2011,4,1396,"27,000 ₪","127,000",בנזין,אוטומט,כחול מטאלי,10/2011,10/2022,פרטית,פרטית,לא,לא,13,תל אביב יפו,
214,פיג'ו 2008,2014,1,1199,"23,000 ₪","125,000",בנזין,ידנית,לבן פנינה,04/2014,04/2022,פרטית,,כן,לא,13,חיפה,
215,לקסוס IS300h,2018,1,2494,"159,770 ₪","112,000",בנזין,אוטומט,אדום,03/2018,03/2022,פרטית,,כן,לא,4,באר אורה,
216,דייהטסו סיריון,2009,2,1298,"18,900 ₪","180,000",בנזין,אוטומט,כסוף,,,פרטית,פרטית,לא,לא,4,בת חפר,
217,פולקסווגן פאסאט,2005,6,1984,"8,000 ₪","170,000",בנזין,אוטומט,כסוף,01/2005,,פרטית,פרטית,לא,לא,NaN,רמת גן,
218,סקודה ראפיד,2017,1,999,"35,000 ₪","190,000",בנזין,אוטומט,אפור מטאלי,08/2017,09/2022,פרטית,,לא,לא,6,רהט,
219,שברולט קרוז,2012,2,1598,לא צוין מחיר,"200,000",בנזין,אוטומט,לבן,02/2012,02/2022,פרטית,פרטית,לא,לא,14,פתח תקווה,
220,קרייזלר 300M,2000,4,3518,"20,000 ₪","272,000",בנזין,אוטומט,כסוף מטאלי,,,פרטית,פרטית,כן,לא,NaN,באר טוביה,
221,שברולט קרוז,2013,2,1598,"19,000 ₪","145,000",בנזין,אוטומט,לבן,06/2013,06/2022,פרטית,פרטית,לא,לא,15,רחובות,
222,טויוטה קורולה,2005,5,1598,"11,000 ₪","273,000",בנזין,אוטומט,לבן,,03/2022,פרטית,פרטית,לא,לא,NaN,טורעאן,
223,מאזדה 3,2011,2,1598,"28,800 ₪","157,000",בנזין,אוטומט,אפור מטאלי,,,פרטית,פרטית,לא,לא,15,מטולה,
224,סובארו B4,2009,3,1994,"16,500 ₪","111,000",בנזין,אוטומט,שחור מטאלי,04/2009,04/2022,פרטית,פרטית,לא,לא,13,ירושלים,
225,טויוטה אוריס הייבריד,2017,2,1598,"72,000 ₪","97,000",בנזין,אוטומט,כסוף מטאלי,12/2017,03/2022,פרטית,פרטית,לא,לא,3,חדרה,
226,קיה פיקנטו,2016,3,1248,"43,500 ₪","70,000",בנזין,אוטומט,אדום,02/2016,,פרטית,פרטית,לא,לא,9,אבטין,
227,שברולט טראקס,2014,1,1364,"47,500 ₪","93,000",בנזין,אוטומט,אפור,08/2014,08/2022,פרטית,,לא,לא,15,טמרה,
228,פיג'ו 3008,2018,1,1560,לא צוין מחיר,"54,000",דיזל,אוטומט,שחור,03/2018,03/2022,פרטית,,לא,לא,10,נצרת,
229,סובארו B3 האצ'בק,2008,2,1498,"8,500 ₪","243,344",בנזין,אוטומט,לבן שנהב,09/2008,09/2022,פרטית,פרטית,כן,לא,15,אילת,
230,סוזוקי אלטו,2013,3,996,"13,000 ₪","200,000",בנזין,ידנית,לבן פנינה,01/2013,01/2022,פרטית,השכרה,לא,לא,9,נצרת עילית / נוף הגליל,
231,סקודה אוקטביה,2016,2,1197,"68,000 ₪","84,000",בנזין,אוטומט,לבן מטאלי,03/2016,03/2022,פרטית,פרטית,לא,לא,9,דימונה,
232,סוזוקי ליאנה,2006,4,1586,"4,999 ₪","230,000",בנזין,אוטומט,כסוף,06/2006,06/2022,פרטית,פרטית,לא,לא,NaN,חדרה,
233,טויוטה לנד קרוזר ארוך,2020,1,2755,"388,000 ₪","60,000",דיזל,אוטומט,לבן פנינה,01/2020,01/2022,פרטית,,לא,לא,15,יהוד מונוסון,
234,אינפיניטי QX70 / FX37,2017,2,3696,"185,000 ₪","83,000",בנזין,אוטומט,שחור מטאלי,,,פרטית,פרטית,לא,לא,15,פתח תקווה,
235,הונדה סיוויק סדאן החדשה,2017,0,1798,"63,000 ₪",,בנזין,אוטומט,לבן מטאלי,04/2017,,פרטית,,כן,לא,13,באר שבע,אלברטו קאר
236,קיה קרניבל,2018,2,3342,"180,000 ₪","102,000",בנזין,אוטומט,שחור,07/2018,07/2022,פרטית,ליסינג,לא,לא,15,הרצליה,
237,יונדאי i30,2010,2,1591,לא צוין מחיר,162,בנזין,אוטומט,ברונזה מטאלי,08/2010,,פרטית,פרטית,לא,לא,14,ירושלים,
238,דייהטסו סיריון,2009,5,1298,"16,000 ₪","180,000",בנזין,אוטומט,בז',11/2009,11/2022,פרטית,פרטית,לא,לא,4,מבשרת ציון,
239,סיאט איביזה,2010,5,1390,לא צוין מחיר,"129,838",בנזין,אוטומט,לבן,09/2010,09/2022,פרטית,פרטית,לא,לא,14,דאלית אל כרמל,
240,פורד פוקוס,2008,2,1596,"6,800 ₪","140,000",בנזין,אוטומט,טוניק,05/2008,05/2022,פרטית,פרטית,לא,לא,15,אשדוד,
241,מאזדה 323 לאנטיס,2001,3,1840,"5,500 ₪","293,000",בנזין,אוטומט,ברונזה,07/2001,01/2022,פרטית,פרטית,לא,לא,NaN,תל אביב יפו,
242,אינפיניטי QX60,2015,2,3498,לא צוין מחיר,"107,000",בנזין,אוטומט,לבן פנינה,04/2015,04/2022,פרטית,פרטית,לא,לא,15,נצרת עילית / נוף הגליל,
243,מאזדה 3,2020,2,1998,"124,900 ₪","22,000",בנזין,אוטומט,כסוף,02/2020,,פרטית,פרטית,לא,לא,11,תל אביב יפו,
244,מרצדס E-Class,2017,2,1950,"170,000 ₪","225,000",דיזל,אוטומט,לבן,08/2017,08/2022,פרטית,מונית,לא,לא,2,כפר יונה,
245,אופל מוקה,2016,2,1364,"45,000 ₪","120,000",בנזין,אוטומט,שחור,02/2016,,פרטית,ליסינג,לא,לא,13,רמת גן,
246,פיג'ו 308,2017,2,1199,"41,000 ₪","91,000",בנזין,אוטומט,לבן,,03/2022,פרטית,ליסינג,כן,לא,10,חיפה,
247,יונדאי גטס,2007,2,1399,"5,200 ₪","222,225",בנזין,אוטומט,לבן,02/2007,,פרטית,פרטית,לא,לא,14,הרצליה,
248,ב.מ.וו X5,2017,1,1997,"290,000 ₪","29,800",היברידי חשמל / בנזין,אוטומט,לבן מטאלי,05/2017,05/2022,פרטית,,לא,לא,3,רמת השרון,
249,סובארו B4,2005,3,1994,לא צוין מחיר,"200,000",בנזין,אוטומט,כחול,,09/2022,פרטית,פרטית,לא,לא,NaN,באר שבע,
250,קיה אופטימה / Optima,2013,2,1685,"27,000 ₪","50,000",דיזל,אוטומט,לבן פנינה,,,פרטית,מונית,לא,לא,15,באר שבע,
251,יונדאי סונטה הייבריד,2016,1,1999,"95,000 ₪","116,000",בנזין,אוטומט,כסוף מטאלי,09/2016,09/2022,פרטית,,לא,לא,3,גבעתיים,
252,שברולט קפטיבה,2014,2,2384,"42,000 ₪","119,000",בנזין,אוטומט,כחול,,03/2022,פרטית,פרטית,לא,לא,15,תל אביב יפו,
253,דאצ'יה דאסטר,2016,1,1197,"45,000 ₪","160,000",בנזין,ידנית,שחור,01/2016,01/2022,פרטית,,לא,לא,14,עתלית,
254,מרצדס S-Class,2010,3,3498,"110,000 ₪","210,000",בנזין,אוטומט,שחור מטאלי,,02/2022,פרטית,ייבוא אישי,לא,לא,15,ירושלים,
255,פולקסווגן פולו,2012,2,1197,"32,500 ₪","161,000",בנזין,אוטומט,אפור עכבר,01/2012,03/2022,פרטית,פרטית,לא,לא,14,מבשרת ציון,
256,קיה פיקנטו,2015,3,1248,"43,000 ₪","70,000",בנזין,אוטומט,אפור,04/2015,04/2022,פרטית,פרטית,כן,לא,9,טבריה,
257,רנו פלואנס,2013,2,1461,"20,000 ₪","215,000",דיזל,אוטומט,כסוף,07/2013,,חברה,ליסינג,לא,לא,14,עפולה,
258,רנו פלואנס,2013,2,1461,"25,000 ₪","217,000",דיזל,אוטומט,כסוף,08/2013,07/2022,פרטית,ליסינג,לא,כן,14,באר שבע,
259,פיג'ו 206,2002,4,1587,"16,000 ₪","213,000",בנזין,ידנית,כחול בהיר,,05/2022,פרטית,פרטית,לא,לא,NaN,עצמון שגב,
260,אאודי Q7,2016,3,2995,"250,000 ₪","60,000",בנזין,אוטומט,לבן מטאלי,06/2016,06/2022,פרטית,פרטית,לא,לא,15,טייבה,
261,דאצ'יה לוגאן / MCV,2016,1,898,"60,000 ₪","43,000",בנזין,אוטומט,כסוף,01/2016,11/2022,פרטית,,לא,לא,8,אלעד,
262,פולקסווגן ג'טה,2009,3,1896,"15,000 ₪","490,000",דיזל,ידנית,ירוק מטאלי,07/2009,07/2022,פרטית,פרטית,כן,לא,14,אפיניש,
263,ניסאן אקס טרייל,2016,2,1598,"97,000 ₪","94,000",דיזל,אוטומט,לבן,12/2016,,פרטית,פרטית,כן,כן,14,דימונה,
264,סקודה אוקטביה,2014,2,1197,"46,000 ₪","138,000",בנזין,אוטומט,אפור מטאלי,03/2014,03/2022,פרטית,פרטית,לא,לא,14,ירושלים,
265,קיה סיד / CEED,2013,2,1582,"25,000 ₪","291,900",דיזל,ידנית,לבן,07/2013,07/2022,לימוד נהיגה,לימוד נהיגה,לא,לא,15,חיפה,
266,רנו פלואנס,2011,3,1598,לא צוין מחיר,"185,000",בנזין,אוטומט,כסוף,01/2011,01/2023,פרטית,ליסינג,לא,לא,15,ערערה בנגב,
267,סובארו אימפרזה החדשה,2014,2,1600,"32,000 ₪","165,000",בנזין,אוטומט,לבן פנינה,10/2014,10/2022,פרטית,השכרה,לא,לא,14,בני ברק,
268,לנד רובר ריינג' רובר ספורט,2019,2,1997,"550,000 ₪","49,000",היברידי חשמל / בנזין,אוטומט,לבן,09/2019,09/2022,פרטית,פרטית,לא,לא,15,קרית אתא,
269,ניסאן קשקאי,2015,2,1598,"70,000 ₪","139,000",דיזל,אוטומט,לבן,03/2015,03/2022,פרטית,פרטית,לא,כן,14,אשדוד,
270,שברולט קרוז,2011,4,1598,"14,500 ₪","106,000",בנזין,אוטומט,שחור מטאלי,11/2011,12/2021,פרטית,פרטית,לא,לא,15,באר שבע,
271,פיג'ו 407,2008,4,1997,"6,200 ₪","285,000",בנזין,אוטומט,שחור,05/2008,05/2022,פרטית,פרטית,לא,לא,15,פרדס חנה כרכור,
272,סוזוקי SX4 קרוסאובר,2015,2,1586,"58,000 ₪","94,000",בנזין,אוטומט,לבן פנינה,,06/2022,פרטית,פרטית,לא,לא,14,גנות הדר,...
273,ביואיק לה קרוס,2006,2,3564,"5,250 ₪","1,000",בנזין,אוטומט,כחול,,,פרטית,פרטית,לא,לא,15,אור יהודה,
274,יונדאי i10,2012,2,1086,"13,000 ₪","170,000",בנזין,ידנית,אפור עכבר,02/2012,02/2022,פרטית,פרטית,לא,לא,9,ירושלים,
275,אאודי A3,2009,5,1798,"32,000 ₪","250,000",בנזין,אוטומט,לבן מטאלי,10/2009,10/2022,פרטית,פרטית,כן,לא,15,שפרעם,
276,שברולט טראקס,2017,1,1364,"84,900 ₪","80,500",בנזין,אוטומט,לבן מטאלי,11/2017,07/2022,פרטית,,לא,לא,14,מצליח,
277,שברולט טראקס,2018,1,1364,"90,900 ₪","60,500",בנזין,אוטומט,שחור מטאלי,03/2018,03/2022,פרטית,,לא,לא,14,מצליח,
278,סוזוקי SX4,2009,3,1586,"22,500 ₪","160,000",בנזין,אוטומט,כתום,03/2009,10/2022,פרטית,פרטית,לא,לא,15,קרית שמונה,
279,מיצובישי לנסר קלאסיק,2007,3,1584,לא צוין מחיר,"300,000",בנזין,אוטומט,אפור,,,פרטית,פרטית,לא,לא,15,בית השיטה,
280,קרייזלר 300C,2015,2,3604,"100,000 ₪","110,000",בנזין,אוטומט,שחור מטאלי,02/2015,02/2022,פרטית,פרטית,כן,לא,15,טמרה,
281,יונדאי סונטה,2021,1,1598,"198,000 ₪","10,000",בנזין,אוטומט,אפור עכבר,02/2021,02/2022,פרטית,,כן,לא,13,ירושלים,
282,לקסוס RX450H,2015,2,3456,"150,000 ₪","170,000",בנזין,אוטומט,שחור מטאלי,05/2015,05/2022,פרטית,פרטית,לא,לא,12,נתניה,
283,מרצדס GLA,2018,3,1595,"199,000 ₪","37,000",בנזין,אוטומט,לבן פנינה,01/2018,02/2022,פרטית,פרטית,לא,לא,14,כפר קאסם,
284,טסלה מודל 3,2021,1,,"280,000 ₪","1,000",חשמלי,אוטומט,שחור מטאלי,11/2021,,פרטית,,לא,לא,1,קרית גת,
285,פולקסווגן גולף,2011,3,1595,"26,500 ₪","145,000",בנזין,אוטומט,לבן,06/2011,06/2022,פרטית,פרטית,לא,לא,14,תל אביב יפו,
286,פיאט טיפו,2017,2,1598,"43,000 ₪","70,000",בנזין,אוטומט,לבן,08/2017,08/2022,פרטית,ליסינג,לא,לא,15,באר שבע,
287,ניסאן מיקרה,2016,3,1198,"32,000 ₪","113,000",בנזין,אוטומט,כסוף,04/2016,04/2022,פרטית,ליסינג,לא,לא,7,אשדוד,
288,יונדאי i10,2014,2,1248,"31,500 ₪","97,000",בנזין,אוטומט,שחור,,07/2022,פרטית,ליסינג,לא,לא,4,קרית ים,
289,קרייזלר גראנד וויאג'ר,2012,2,3604,"55,000 ₪","82,000",בנזין,אוטומט,כסוף,05/2012,06/2022,פרטית,פרטית,לא,לא,15,שלומי,
290,ב.מ.וו סדרה 3 קופה / קבריולט,1997,10,2793,לא צוין מחיר,"180,000",בנזין,ידנית,כחול,12/1997,,פרטית,פרטית,לא,לא,NaN,מגאר,
291,טויוטה קורולה,2017,2,1598,"77,000 ₪","81,000",בנזין,אוטומט,אפור עכבר,10/2017,,פרטית,פרטית,לא,לא,8,טמרה,
292,פיג'ו 107,2011,3,998,"12,000 ₪","108,000",בנזין,אוטומט,כסוף,03/2011,12/2022,פרטית,פרטית,לא,לא,6,ירושלים,
293,סיאט איביזה,2015,2,1390,"33,000 ₪","122,150",בנזין,ידנית,בורדו,03/2015,03/2022,פרטית,פרטית,כן,לא,11,נצרת,
294,סיאט איביזה,2012,3,1197,"16,500 ₪","215,000",בנזין,אוטומט,שחור,,,פרטית,פרטית,לא,לא,14,נתיבות,
295,וולוו S60,2013,3,1595,"44,000 ₪","129,000",בנזין,אוטומט,שחור,05/2013,,פרטית,פרטית,לא,לא,15,רמת גן,
296,סקודה סופרב (עד 2019),2011,3,1798,"30,000 ₪","137,000",בנזין,אוטומט,שחור מטאלי,04/2011,04/2022,פרטית,פרטית,לא,לא,15,מודיעין עילית,
297,ניסאן ג'וק / Juke,2011,5,1598,"26,000 ₪","148,000",בנזין,ידנית,אפור,11/2011,11/2022,פרטית,פרטית,כן,לא,13,שלומי,
298,סקודה סופרב (עד 2019),2017,2,1798,"132,000 ₪","118,000",בנזין,אוטומט,שמפניה,02/2017,02/2022,פרטית,פרטית,לא,לא,12,עפולה,
299,ניסאן קשקאי,2011,4,1997,"39,000 ₪","160,000",בנזין,אוטומט,שחור מטאלי,01/2011,01/2022,פרטית,פרטית,לא,לא,15,ירושלים,
300,וולוו XC60,2018,1,1969,לא צוין מחיר,"97,000",היברידי חשמל / בנזין,אוטומט,לבן פנינה,07/2018,07/2022,פרטית,,לא,לא,15,חיפה,
301,אאודי A3,2008,4,1595,"26,000 ₪","180,000",בנזין,אוטומט,אפור מטאלי,11/2008,11/2022,פרטית,פרטית,לא,לא,15,ראש פינה,
302,פורד פוקוס,2014,3,1596,"21,000 ₪","1,460",בנזין,אוטומט,כסף מטלי,03/2014,04/2022,פרטית,פרטית,לא,לא,15,ירושלים,
303,ניסאן נוט / NOTE,2011,2,1598,"20,000 ₪","190,000",בנזין,אוטומט,לבן,,10/2022,פרטית,פרטית,לא,לא,14,תל אביב יפו,
304,אאודי Q7,2016,2,2967,"216,000 ₪","150,000",דיזל,אוטומט,כסוף,04/2016,,פרטית,פרטית,כן,לא,15,נתיבות,
305,מאזדה 3,2014,3,1998,"62,000 ₪","170,000",בנזין,אוטומט,לבן פנינה,06/2014,06/2022,פרטית,פרטית,לא,לא,10,בסמת טבעון,
306,שברולט טראקס,2014,2,1364,"42,000 ₪","130,000",בנזין,אוטומט,כסוף מטאלי,06/2014,06/2022,פרטית,פרטית,לא,לא,15,מגדל העמק,
307,סקודה ראפיד,2018,2,999,"57,000 ₪","111,000",בנזין,אוטומט,אפור עכבר,09/2018,09/2022,פרטית,ליסינג,כן,לא,6,באר שבע,
308,פורד מונדאו,2013,2,1999,"19,500 ₪","144,000",בנזין,אוטומט,כסוף,07/2013,06/2022,פרטית,השכרה,לא,לא,15,בת ים,
309,יונדאי איוניק,2018,1,1580,"79,000 ₪","125,000",בנזין,אוטומט,לבן,09/2018,09/2022,ליסינג,,כן,לא,2,חדרה,כפיר עסקי רכב
310,דודג' גראנד קראוון,2011,2,3600,"31,000 ₪","200,000",בנזין,אוטומט,לבן פנינה,01/2011,02/2022,פרטית,פרטית,לא,לא,15,ירושלים,
311,מיצובישי ספייס סטאר,2014,2,1193,"29,000 ₪","112,700",בנזין,אוטומט,כסוף,02/2014,02/2022,פרטית,ליסינג,לא,לא,3,קרית שמונה,
