,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,שם הסוכנות:
101,סיטרואן C4 קקטוס,2016,2,1199,"32,000 ₪","180,000",בנזין,ידנית,לבן,07/2016,04/2022,פרטית,פרטית,כן,לא,7,נתיבות,
102,אופל אינסיגניה,2013,2,1998,"43,000 ₪","78,000",בנזין,אוטומט,שחור,01/2013,01/2022,פרטית,פרטית,לא,כן,15,ערד,
103,יונדאי אקסנט (עד 2012),2005,4,1495,"4,500 ₪","175,860",בנזין,אוטומט,אפור מטאלי,12/2005,,פרטית,פרטית,לא,לא,NaN,באר שבע,
104,קיה סיד / CEED,2012,2,1591,"16,000 ₪","180,000",בנזין,אוטומט,סגול מטאלי,04/2012,04/2022,פרטית,ליסינג,לא,לא,15,בת חפר,
105,סקודה רומסטר,2010,4,1598,"18,000 ₪","230,000",בנזין,טיפטרוניק,כסוף מטאלי,11/2010,11/2022,פרטית,ליסינג,לא,לא,15,חיפה,
106,פולקסווגן פולו קלאסיק,2001,4,1896,"5,500 ₪","300,000",דיזל,ידנית,לבן,03/2001,03/2022,פרטית,פרטית,לא,לא,NaN,אביבים,
107,קיה פיקנטו,2019,2,1248,"70,000 ₪","25,000",בנזין,אוטומט,לבן,02/2019,02/2022,פרטית,פרטית,לא,לא,4,אשקלון,
108,וולוו S80,2007,3,2521,"27,000 ₪","280,298",בנזין,אוטומט,כחול כהה מטאלי,,,פרטית,פרטית,לא,לא,NaN,פרדס חנה כרכור,
109,רנו מגאן אסטייט/ גראנד טור,2020,2,1461,"102,000 ₪","27,000",דיזל,אוטומט,אפור מטאלי,,,פרטית,פרטית,לא,לא,7,מעלות תרשיחא,
110,ניסאן קשקאי,2018,1,1598,"96,000 ₪","80,000",דיזל,אוטומט,לבן,,04/2022,פרטית,,לא,לא,12,מעלות תרשיחא,
111,רנו מגאן אסטייט/ גראנד טור,2020,2,1461,"102,000 ₪","27,000",דיזל,אוטומט,אפור מטאלי,,,פרטית,פרטית,לא,לא,7,מעלות תרשיחא,
112,ניסאן קשקאי,2018,1,1598,"96,000 ₪","80,000",דיזל,אוטומט,לבן,,04/2022,פרטית,,לא,לא,12,מעלות תרשיחא,
113,מאזדה 3,2005,2,1598,"12,000 ₪","200,000",בנזין,אוטומט,אפור מטאלי,,12/2022,פרטית,פרטית,לא,לא,15,מודיעין מכבים רעות,
114,רנו קפצ'ור,2013,2,1197,"34,000 ₪","210,000",בנזין,אוטומט,כתום,09/2013,09/2022,פרטית,פרטית,לא,לא,13,שדרות,
115,יונדאי איוניק,2017,3,1580,"60,000 ₪","222,000",בנזין,אוטומט,לבן,07/2017,07/2022,פרטית,ליסינג,לא,לא,2,גבעת זאב,
116,פיג'ו 307,2003,4,1587,לא צוין מחיר,"188,800",בנזין,אוטומט,כתום,,11/2021,פרטית,פרטית,לא,לא,NaN,קרית מוצקין,
117,סקודה פאביה,2014,1,1390,"33,000 ₪","125,000",בנזין,ידנית,אפור,02/2014,02/2022,פרטית,,לא,לא,12,ירושלים,
118,קיה ספורטז',2017,2,1591,לא צוין מחיר,"35,000",בנזין,אוטומט,לבן פנינה,09/2017,09/2022,פרטית,פרטית,לא,לא,14,באר שבע,
119,ב.מ.וו סדרה 3,2015,5,1598,לא צוין מחיר,"106,000",בנזין,אוטומט,לבן מטאלי,04/2015,04/2022,פרטית,פרטית,לא,לא,14,הרצליה,
120,אאודי Q5,2013,3,1984,"87,000 ₪","168,920",בנזין,אוטומט,לבן,08/2013,08/2022,פרטית,פרטית,לא,לא,15,תל אביב יפו,
121,קיה ספורטז',2013,1,1998,"70,000 ₪","141,000",בנזין,אוטומט,שחור,08/2013,08/2022,פרטית,,לא,לא,15,אשקלון,
