,Unnamed: 0,Area,Owner,AirPol,Hand,Trade,Handicap,Handicap#,Engine,Volume,Engine#,Color,Color#,Km,Year,Gear,Gear#,Price,Maker,Model,Area#,location,point,latitude,longitude,altitude
50,4143,הרצליה,פרטית,,2,לא,לא,1,בנזין,1341.0,0,תכלת,48,206000.0,2005.0,אוטומט,1,6800.0,יונדאי,גטס,156,"הרצליה, נפת תל אביב, מחוז תל אביב, ישראל","(32.1676842, 34.83082794429146, 0.0)",32.1676842,34.83082794429146,0.0
51,3718,גינתון,פרטית,13.0,1,לא,לא,1,בנזין,1396.0,0,תכלת,48,300000.0,2010.0,אוטומט,1,16000.0,יונדאי,i20,200,"גינתון, נפת רמלה, מחוז המרכז, 84900, ישראל","(31.9630286, 34.91500679476407, 0.0)",31.9630286,34.91500679476407,0.0
52,2882,באר שבע,פרטית,10.0,3,לא,לא,1,בנזין,1598.0,0,תכלת,48,87000.0,2012.0,ידנית,0,45000.0,מיני,ONE,169,"באר שבע, נפת באר שבע, מחוז הדרום, ישראל","(31.2457442, 34.7925181, 0.0)",31.2457442,34.7925181,0.0
53,472,באר שבע,פרטית,14.0,2,לא,לא,1,בנזין,1598.0,0,תכלת,48,179000.0,2015.0,אוטומט,1,35005.0,סיטרואן,C4 פיקאסו,53,"באר שבע, נפת באר שבע, מחוז הדרום, ישראל","(31.2457442, 34.7925181, 0.0)",31.2457442,34.7925181,0.0
54,1980,באר שבע,פרטית,15.0,3,לא,לא,1,בנזין,1598.0,0,תכלת,48,108000.0,2011.0,אוטומט,1,14000.0,שברולט,קרוז,124,"באר שבע, נפת באר שבע, מחוז הדרום, ישראל","(31.2457442, 34.7925181, 0.0)",31.2457442,34.7925181,0.0
55,916,תל אביב יפו,פרטית,,3,לא,לא,1,בנזין,1590.0,0,שמפניה,47,273200.0,2005.0,אוטומט,1,9700.0,הונדה,סיוויק (עד 2006),394,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
56,332,רחובות,פרטית,15.0,4,לא,לא,1,בנזין,3564.0,0,שמפניה,47,215000.0,2011.0,אוטומט,1,46000.0,ביואיק,לה קרוס,305,"רחובות, נפת רחובות, מחוז המרכז, ישראל","(31.8952532, 34.8105616, 0.0)",31.8952532,34.8105616,0.0
57,1242,ראשון לציון,פרטית,15.0,1,לא,לא,1,בנזין,3564.0,0,שמפניה,47,119000.0,2016.0,אוטומט,1,125000.0,קאדילק,SRX,321,"ראשון לציון, נפת רחובות, מחוז המרכז, ישראל","(31.9635712, 34.8101149, 0.0)",31.9635712,34.8101149,0.0
58,2017,ראשון לציון,פרטית,15.0,1,לא,לא,1,בנזין,2492.0,0,שמפניה,47,198000.0,2008.0,אוטומט,1,13600.0,שברולט,אפיקה,351,"ראשון לציון, נפת רחובות, מחוז המרכז, ישראל","(31.9635712, 34.8101149, 0.0)",31.9635712,34.8101149,0.0
59,1645,קרית שמונה,פרטית,12.0,3,כן,לא,1,בנזין,1798.0,0,שמפניה,47,105000.0,2015.0,אוטומט,1,,סקודה,סופרב (עד 2019),178,"קרית שמונה, נפת צפת, מחוז הצפון, ישראל","(33.2074733, 35.5707828, 0.0)",33.2074733,35.5707828,0.0
